,AAPL,ADBE,AMD,AMZN,BRK,CVX,DIS,GOOGL,INTC,JNJ,KO,MA,META,MSFT,NFLX,NVDA,PG,TSLA,V,XOM
AAPL,0.00029875214982623947,0.00023214822474130865,0.0003164782803317219,0.00022864784787684968,9.483722696034457e-05,5.740290550631227e-05,0.00014567192322372034,0.0002478567420544591,0.0002034316153202954,3.226137555805493e-05,5.934194985163361e-05,0.00014925022785897712,0.0002677890158849171,0.00020832480883301353,0.00023873305130741018,0.00036745689848273765,5.436835539413798e-05,0.000328400230846611,0.00013328865158607566,5.3756067738694006e-05
ADBE,0.00023214822474130865,0.0005888720841820048,0.00042594721634292554,0.00032898573360274133,9.756106596904718e-05,5.8145060966874534e-05,0.00017778777679283155,0.00029369136406708394,0.000255611570641586,1.741481712326573e-05,5.225041020988695e-05,0.00018145727166160878,0.0003619669214044253,0.00027914470943344655,0.0003228993997476333,0.0004903372588411104,4.8245666037922144e-05,0.00035539833978835087,0.00016747789686386708,4.500015593769432e-05
AMD,0.0003164782803317219,0.00042594721634292554,0.0011137735606224907,0.00045102386525337773,0.00013168061789209305,7.822272523025484e-05,0.00024153245369278148,0.00037315602430718363,0.0004579127599589151,-6.471253159505975e-06,3.556525301661723e-05,0.00023448176839831729,0.00050291336404339,0.000348987974300449,0.0004491435442011898,0.0009338821261297461,3.4640975777495555e-05,0.000549868000884332,0.0001998187472332199,5.8049909534549326e-05
AMZN,0.00022864784787684968,0.00032898573360274133,0.00045102386525337773,0.00177903520897369,0.00010559653154492052,7.574600071622957e-05,0.00022787393841443537,0.0002914649768610832,0.0002773969381892299,1.950218874838266e-05,4.87076329661881e-05,0.0001666015127030275,0.0004199544725529211,0.0002950450342467019,0.00038839314774965854,0.0004559065520026016,4.00024175318245e-05,0.00037316859796828573,0.00015006811505521698,4.960059431325982e-05
BRK,9.483722696034457e-05,9.756106596904718e-05,0.00013168061789209305,0.00010559653154492052,0.0001210057762938849,7.551629125225308e-05,9.780904595079517e-05,0.00011080277803981709,0.00010849440847075469,4.748402845845985e-05,5.306988663311661e-05,9.739126402116499e-05,0.0001136193876040575,8.61534610224186e-05,0.00010160191915599958,0.0001369352838343702,4.4648828760289816e-05,0.00010889339535090807,8.922534408851845e-05,7.386156120376743e-05
CVX,5.740290550631227e-05,5.8145060966874534e-05,7.822272523025484e-05,7.574600071622957e-05,7.551629125225308e-05,0.0002635633077450032,8.544385982063399e-05,3.7589144116678994e-05,8.183142337684348e-05,2.3582977193830274e-05,2.4210660564372844e-05,5.534277976647466e-05,5.219928829715486e-05,4.0150319594520506e-05,6.699167420112411e-05,7.091040260648942e-05,3.853586955350807e-06,6.945933837963948e-05,5.224942331181245e-05,0.00023421895461622763
DIS,0.00014567192322372034,0.00017778777679283155,0.00024153245369278148,0.00022787393841443537,9.780904595079517e-05,8.544385982063399e-05,0.00036848004635237297,0.0001508366285776955,0.0001857247326391965,2.4123900053078735e-05,4.267785524168556e-05,0.00014174300971725223,0.00022039814317258407,0.00014536901111394216,0.00027710137018091037,0.00025210224560392964,3.8424782747352046e-05,0.00025403970526244215,0.000124483134009338,8.111750875822075e-05
GOOGL,0.0002478567420544591,0.00029369136406708394,0.00037315602430718363,0.0002914649768610832,0.00011080277803981709,3.7589144116678994e-05,0.0001508366285776955,0.0016189108344401727,0.00021338679936334023,5.1154475489751514e-05,5.936073409982563e-05,0.00015807294270783135,0.0003572837963109214,0.0002619249982805864,0.0002546185844008217,0.00037311671640304707,5.567614330284285e-05,0.00028795619423466277,0.00014807338222792065,1.0551710078115767e-05
INTC,0.0002034316153202954,0.000255611570641586,0.0004579127599589151,0.0002773969381892299,0.00010849440847075469,8.183142337684348e-05,0.0001857247326391965,0.00021338679936334023,0.0007293725145190465,2.575317086462652e-05,3.7522744324073104e-05,0.00014586699321698666,0.0003035280687555667,0.00021412312751476197,0.00026915830372207096,0.0004059307664622321,5.346379243554735e-05,0.00033178763729574667,0.0001205731605330875,6.69015405852081e-05
JNJ,3.226137555805493e-05,1.741481712326573e-05,-6.471253159505975e-06,1.950218874838266e-05,4.748402845845985e-05,2.3582977193830274e-05,2.4123900053078735e-05,5.1154475489751514e-05,2.575317086462652e-05,0.00010736825229832941,4.829809981414846e-05,3.411271651323278e-05,1.9707075200178837e-05,2.2637359637664925e-05,1.222587486192745e-05,-2.3246994832815804e-05,5.022168750409813e-05,-9.530203599894124e-06,3.537842865638457e-05,2.0645453767721555e-05
KO,5.934194985163361e-05,5.225041020988695e-05,3.556525301661723e-05,4.87076329661881e-05,5.306988663311661e-05,2.4210660564372844e-05,4.267785524168556e-05,5.936073409982563e-05,3.7522744324073104e-05,4.829809981414846e-05,9.817821144895545e-05,5.915135626214287e-05,3.3636975517283795e-05,4.880684378413397e-05,3.3892206621250484e-05,3.5279558849222086e-05,7.247408706105721e-05,2.5228099944911552e-05,5.542366844650681e-05,2.853299975202556e-05
MA,0.00014925022785897712,0.00018145727166160878,0.00023448176839831729,0.0001666015127030275,9.739126402116499e-05,5.534277976647466e-05,0.00014174300971725223,0.00015807294270783135,0.00014586699321698666,3.411271651323278e-05,5.915135626214287e-05,0.00021981217793765604,0.00019369724317848597,0.0001492285145264105,0.00017071355693858983,0.00025064048084562937,5.411975686474284e-05,0.00018853234324119202,0.00018521752712799918,6.270124005826546e-05
META,0.0002677890158849171,0.0003619669214044253,0.00050291336404339,0.0004199544725529211,0.0001136193876040575,5.219928829715486e-05,0.00022039814317258407,0.0003572837963109214,0.0003035280687555667,1.9707075200178837e-05,3.3636975517283795e-05,0.00019369724317848597,0.0009416172369584245,0.00031827172450371084,0.00045253082194306486,0.0005193613978555789,5.03128258610573e-05,0.00034372423382593177,0.00016166140331967728,2.633283708248169e-05
MSFT,0.00020832480883301353,0.00027914470943344655,0.000348987974300449,0.0002950450342467019,8.61534610224186e-05,4.0150319594520506e-05,0.00014536901111394216,0.0002619249982805864,0.00021412312751476197,2.2637359637664925e-05,4.880684378413397e-05,0.0001492285145264105,0.00031827172450371084,0.00030601113441649125,0.00024333177916203928,0.000385205620582318,5.37035420509278e-05,0.00027331872470826393,0.0001285264512371348,2.4656180674960384e-05
NFLX,0.00023873305130741018,0.0003228993997476333,0.0004491435442011898,0.00038839314774965854,0.00010160191915599958,6.699167420112411e-05,0.00027710137018091037,0.0002546185844008217,0.00026915830372207096,1.222587486192745e-05,3.3892206621250484e-05,0.00017071355693858983,0.00045253082194306486,0.00024333177916203928,0.0009542311848437421,0.0004990523757958324,3.5148275143997114e-05,0.00042661269290346365,0.00014692706504428472,6.126607803168076e-05
NVDA,0.00036745689848273765,0.0004903372588411104,0.0009338821261297461,0.0004559065520026016,0.0001369352838343702,7.091040260648942e-05,0.00025210224560392964,0.00037311671640304707,0.0004059307664622321,-2.3246994832815804e-05,3.5279558849222086e-05,0.00025064048084562937,0.0005193613978555789,0.000385205620582318,0.0004990523757958324,0.002324776887596831,2.5967973159060362e-05,0.0006392946988893035,0.00022851617676342606,4.056030190163397e-05
PG,5.436835539413798e-05,4.8245666037922144e-05,3.4640975777495555e-05,4.00024175318245e-05,4.4648828760289816e-05,3.853586955350807e-06,3.8424782747352046e-05,5.567614330284285e-05,5.346379243554735e-05,5.022168750409813e-05,7.247408706105721e-05,5.411975686474284e-05,5.03128258610573e-05,5.37035420509278e-05,3.5148275143997114e-05,2.5967973159060362e-05,0.00012437862834750526,2.2460361502087852e-05,5.149218896582543e-05,8.087649584598677e-06
TSLA,0.000328400230846611,0.00035539833978835087,0.000549868000884332,0.00037316859796828573,0.00010889339535090807,6.945933837963948e-05,0.00025403970526244215,0.00028795619423466277,0.00033178763729574667,-9.530203599894124e-06,2.5228099944911552e-05,0.00018853234324119202,0.00034372423382593177,0.00027331872470826393,0.00042661269290346365,0.0006392946988893035,2.2460361502087852e-05,0.0020982012025080833,0.0001794769298043779,5.354353568042144e-05
