Date,AAPL,ADBE,AMD,AMZN,BRK.B,CVX,DIS,GOOGL,INTC,JNJ,KO,MA,META,MSFT,NFLX,NVDA,PG,TSLA,V,XOM
2021-12-01,164.77,657.41,149.11,3443.72,275.0,112.1,142.15,2821.03,48.6,158.08,52.3,306.28,310.6,330.08,617.77,314.35,146.4,1095.0,190.16,59.79
2021-12-02,163.76,671.88,150.68,3437.36,279.09,115.14,147.2,2859.32,49.5,157.09,53.07,320.2,310.39,329.49,616.47,321.26,147.26,1084.6,198.29,61.28
2021-12-03,161.84,616.53,144.01,3389.79,277.43,114.41,146.22,2840.03,49.25,159.38,53.54,322.11,306.84,323.01,602.13,306.93,149.88,1014.97,196.32,60.89
2021-12-06,165.32,622.04,139.06,3427.37,281.38,116.2,150.37,2863.1,50.99,162.94,54.91,333.33,317.87,326.19,612.69,300.37,152.15,1009.01,202.68,61.58
2021-12-07,171.18,649.96,144.85,3523.29,284.97,117.92,150.81,2945.39,52.57,163.36,55.21,339.51,322.81,334.92,625.58,324.27,151.75,1051.75,207.37,62.27
2021-12-08,175.08,653.1,145.24,3523.16,283.72,118.45,153.34,2963.73,51.75,164.34,55.0,342.34,330.56,334.97,628.08,318.26,152.43,1068.96,208.99,62.45
2021-12-09,174.56,632.57,138.1,3483.42,284.52,118.14,152.94,2952.77,50.48,165.9,54.86,344.52,329.82,333.1,611.0,304.9,153.32,1003.8,211.39,62.61
2021-12-10,179.45,654.45,138.55,3444.24,288.23,118.34,152.71,2960.03,50.59,165.49,56.28,349.92,329.75,342.54,611.66,301.98,155.46,1017.03,213.4,63.01
2021-12-13,175.74,658.3,133.8,3391.35,290.01,115.88,150.43,2916.53,50.0,168.45,57.76,345.31,334.49,339.4,604.56,281.61,157.67,966.41,211.02,61.63
2021-12-14,174.33,614.86,135.6,3381.83,295.03,116.22,149.1,2878.14,49.7,170.29,57.8,340.55,333.74,328.34,597.99,283.37,158.25,958.51,209.98,61.54
2021-12-15,179.3,630.33,146.5,3466.3,294.58,115.56,150.4,2928.82,50.67,171.14,58.06,346.35,341.66,334.65,605.04,304.59,158.86,975.99,212.31,61.27
2021-12-16,172.26,566.09,138.64,3377.42,300.17,116.64,148.75,2888.9,50.83,173.01,58.65,352.92,334.9,324.9,591.06,283.87,161.11,926.92,214.37,61.37
2021-12-17,171.14,556.64,137.75,3400.35,293.66,113.6,148.76,2834.5,50.62,168.23,57.73,349.31,333.79,323.8,586.73,278.01,157.46,932.57,211.88,60.03
