Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Company
2021-12-01,167.48,170.3,164.53,164.77,162.119121868238,152423003,0.0,1.0,AAPL
2021-12-02,158.735,164.2,157.8,163.76,161.125371106043,136739174,0.0,1.0,AAPL
2021-12-03,164.02,164.96,159.72,161.84,159.236260746226,118023116,0.0,1.0,AAPL
2021-12-06,164.29,167.8799,164.28,165.32,162.660273273394,107496982,0.0,1.0,AAPL
2021-12-07,169.08,171.58,168.34,171.18,168.425995517418,120405352,0.0,1.0,AAPL
2021-12-08,172.125,175.96,170.7,175.08,172.263250935796,116998901,0.0,1.0,AAPL
2021-12-09,174.91,176.75,173.92,174.56,171.751616880012,108923739,0.0,1.0,AAPL
2021-12-10,175.205,179.63,174.69,179.45,176.562944827671,115402731,0.0,1.0,AAPL
2021-12-13,181.115,182.13,175.53,175.74,172.912632621983,153237019,0.0,1.0,AAPL
2021-12-14,175.25,177.74,172.21,174.33,171.525317201493,139380382,0.0,1.0,AAPL
2021-12-15,175.11,179.5,172.3108,179.3,176.41535808081,131063257,0.0,1.0,AAPL
2021-12-16,179.28,181.14,170.75,172.26,169.488620094815,150185843,0.0,1.0,AAPL
2021-12-17,169.93,173.47,169.69,171.14,168.386639051589,195923441,0.0,1.0,AAPL
2021-12-20,168.28,170.58,167.46,169.75,167.019001864013,107499114,0.0,1.0,AAPL
2021-12-21,171.555,173.2,169.12,172.99,170.206875596204,91185905,0.0,1.0,AAPL
2021-12-22,173.04,175.86,172.15,175.64,172.814241457409,92135303,0.0,1.0,AAPL
2021-12-23,175.85,176.8499,175.27,176.28,173.443944910682,68356567,0.0,1.0,AAPL
2021-12-27,177.085,180.42,177.07,180.33,177.42878707592,74919582,0.0,1.0,AAPL
2021-12-28,180.16,181.33,178.53,179.29,176.405518964353,79144339,0.0,1.0,AAPL
2021-12-29,179.33,180.63,178.14,179.38,176.494071012469,62348931,0.0,1.0,AAPL
2021-12-30,179.47,180.57,178.09,178.2,175.333055270498,59773014,0.0,1.0,AAPL
2021-12-31,178.085,179.23,177.26,177.57,174.713190933684,61661433,0.0,1.0,AAPL
2022-01-03,177.83,182.88,177.71,182.01,179.08175864076,104701220,0.0,1.0,AAPL
2022-01-04,182.63,182.94,179.12,179.7,176.808922739105,99310438,0.0,1.0,AAPL
2022-01-05,179.61,180.17,174.64,174.92,172.105825072478,94537602,0.0,1.0,AAPL
2022-01-06,172.7,175.3,171.64,172.0,169.232803066923,96903955,0.0,1.0,AAPL
2022-01-07,172.89,174.14,171.03,172.17,169.400068046699,86709147,0.0,1.0,AAPL
2022-01-10,169.08,172.5,168.17,172.19,169.419746279613,106765552,0.0,1.0,AAPL
2022-01-11,172.32,175.18,170.82,175.08,172.263250935796,75937685,0.0,1.0,AAPL
2022-01-12,176.12,177.18,174.82,175.53,172.706011176378,74805173,0.0,1.0,AAPL
2022-01-13,175.78,176.62,171.79,172.19,169.419746279613,84505760,0.0,1.0,AAPL
2022-01-14,171.34,173.78,171.09,173.07,170.285588527863,80440780,0.0,1.0,AAPL
2022-01-18,171.51,172.54,169.405,169.8,167.0681974463,90500236,0.0,1.0,AAPL
2022-01-19,170.0,171.08,165.94,166.23,163.555632871015,92914792,0.0,1.0,AAPL
2022-01-20,166.98,169.68,164.18,164.51,161.863304840346,91420515,0.0,1.0,AAPL
2022-01-21,164.415,166.33,162.3,162.41,159.797090384297,122848858,0.0,1.0,AAPL
2022-01-24,160.02,162.3,154.7,161.62,159.019800184164,162706686,0.0,1.0,AAPL
2022-01-25,158.98,162.76,157.02,159.78,157.209402756006,115798367,0.0,1.0,AAPL
2022-01-26,163.5,164.3894,157.82,159.69,157.120850707889,108275308,0.0,1.0,AAPL
2022-01-27,162.45,163.84,158.28,159.22,156.658412234393,121954638,0.0,1.0,AAPL
2022-01-28,165.71,170.35,162.8,170.33,167.589670618541,179935660,0.0,1.0,AAPL
2022-01-31,170.16,175.0,169.51,174.78,171.968077442075,115541590,0.0,1.0,AAPL
2022-02-01,174.01,174.84,172.31,174.61,171.800812462299,86213911,0.0,1.0,AAPL
2022-02-02,174.745,175.88,173.33,175.84,173.011023786557,84914256,0.0,1.0,AAPL
2022-02-03,174.48,176.2399,172.12,172.9,170.118323548087,89418074,0.0,1.0,AAPL
2022-02-04,171.68,174.1,170.68,172.39,169.832989170823,82465400,0.22,1.0,AAPL
2022-02-07,172.86,173.9458,170.95,171.66,169.113817048921,77251204,0.0,1.0,AAPL
2022-02-08,171.73,175.35,171.43,174.83,172.236797359099,74829217,0.0,1.0,AAPL
2022-02-09,176.05,176.65,174.9,176.28,173.66528993,71285038,0.0,1.0,AAPL
2022-02-10,174.14,175.48,171.55,172.12,169.566994002449,90865899,0.0,1.0,AAPL
2022-02-11,172.33,173.08,168.04,168.64,166.138611832285,98670687,0.0,1.0,AAPL
2022-02-14,167.37,169.58,166.56,168.88,166.375051981952,86185530,0.0,1.0,AAPL
2022-02-15,170.97,172.95,170.25,172.79,170.227056086934,64286320,0.0,1.0,AAPL
2022-02-16,171.85,173.34,170.05,172.55,169.990615937268,61177398,0.0,1.0,AAPL
2022-02-17,171.03,171.91,168.47,168.88,166.375051981952,69589344,0.0,1.0,AAPL
2022-02-18,169.82,170.5413,166.19,167.3,164.818487663314,82772674,0.0,1.0,AAPL
2022-02-22,164.98,166.69,162.15,164.32,161.882689138289,90457637,0.0,1.0,AAPL
2022-02-23,165.54,166.15,159.75,160.07,157.695728154613,90009247,0.0,1.0,AAPL
2022-02-24,152.58,162.85,152.0,162.74,160.326124819652,141147540,0.0,1.0,AAPL
2022-02-25,163.84,165.12,160.8738,164.85,162.404827802136,91974222,0.0,1.0,AAPL
2022-02-28,163.06,165.42,162.43,165.12,162.670822970511,95056629,0.0,1.0,AAPL
2022-03-01,164.695,166.6,161.97,163.2,160.779301773179,83474425,0.0,1.0,AAPL
2022-03-02,164.39,167.36,162.95,166.56,164.089463868509,79724750,0.0,1.0,AAPL
2022-03-03,168.47,168.91,165.55,166.23,163.764358662718,76678441,0.0,1.0,AAPL
2022-03-04,164.49,165.55,162.1,163.17,160.749746754471,83819592,0.0,1.0,AAPL
2022-03-07,163.36,165.02,159.04,159.3,156.9371493411,96418845,0.0,1.0,AAPL
2022-03-08,158.82,162.88,155.8,157.44,155.104738181185,131148280,0.0,1.0,AAPL
2022-03-09,161.475,163.41,159.41,162.95,160.53300995061,91454905,0.0,1.0,AAPL
2022-03-10,160.2,160.39,155.98,158.52,156.168718854684,105342033,0.0,1.0,AAPL
2022-03-11,158.93,159.28,154.5,154.73,152.434934824535,96970102,0.0,1.0,AAPL
2022-03-14,151.45,154.12,150.1,150.62,148.385897261497,108732111,0.0,1.0,AAPL
2022-03-15,150.9,155.57,150.38,155.09,152.789595049034,92964302,0.0,1.0,AAPL
2022-03-16,157.05,160.0,154.46,159.59,157.22284785528,102300157,0.0,1.0,AAPL
2022-03-17,158.61,161.0,157.63,160.62,158.237570164265,75615376,0.0,1.0,AAPL
2022-03-18,160.51,164.48,159.76,163.98,161.547732259595,122055535,0.0,1.0,AAPL
2022-03-21,163.51,166.35,163.015,165.38,162.926966465983,89029269,0.0,1.0,AAPL
2022-03-22,165.51,169.42,164.91,168.82,166.315941944535,80979755,0.0,1.0,AAPL
2022-03-23,167.99,172.64,167.65,170.21,167.68532447802,98062674,0.0,1.0,AAPL
2022-03-24,171.06,174.14,170.21,174.07,171.488070218489,90131418,0.0,1.0,AAPL
2022-03-25,173.88,175.28,172.75,174.72,172.128428957168,80281664,0.0,1.0,AAPL
2022-03-28,172.17,175.73,172.0,175.6,172.995376172612,90371916,0.0,1.0,AAPL
2022-03-29,176.69,179.01,176.34,178.96,176.305538267942,100589440,0.0,1.0,AAPL
2022-03-30,178.55,179.61,176.7,177.77,175.133189192513,92633154,0.0,1.0,AAPL
2022-03-31,177.84,178.03,174.4,174.61,172.020060555238,103049285,0.0,1.0,AAPL
2022-04-01,174.03,174.88,171.94,174.31,171.724510368155,78751328,0.0,1.0,AAPL
2022-04-04,174.57,178.49,174.44,178.44,175.793251276998,76545983,0.0,1.0,AAPL
2022-04-05,177.5,178.3,174.415,175.06,172.463385835863,70902999,0.0,1.0,AAPL
2022-04-06,172.36,173.63,170.13,171.83,169.281295488268,89058782,0.0,1.0,AAPL
2022-04-07,171.16,173.36,169.85,172.14,169.586697348254,77594650,0.0,1.0,AAPL
2022-04-08,171.78,171.78,169.2,170.09,167.567104403187,76575508,0.0,1.0,AAPL
2022-04-11,168.71,169.03,165.5,165.75,163.291478363385,72246706,0.0,1.0,AAPL
2022-04-12,168.02,169.87,166.64,167.66,165.173147887814,79265181,0.0,1.0,AAPL
2022-04-13,167.39,171.04,166.77,170.4,167.872506263173,70618925,0.0,1.0,AAPL
2022-04-14,170.62,171.27,165.04,165.29,162.838301409858,75329376,0.0,1.0,AAPL
2022-04-18,163.92,166.5984,163.57,165.07,162.621564605997,69023941,0.0,1.0,AAPL
2022-04-19,165.02,167.82,163.91,167.4,164.917004392342,67723833,0.0,1.0,AAPL
2022-04-20,168.76,168.88,166.1,167.23,164.749525952995,67718110,0.0,1.0,AAPL
2022-04-21,168.91,171.53,165.91,166.42,163.951540447871,87227768,0.0,1.0,AAPL
2022-04-22,166.46,167.8699,161.5,161.79,159.390215893889,84882424,0.0,1.0,AAPL
2022-04-25,161.12,163.17,158.46,162.88,160.464048240291,96046376,0.0,1.0,AAPL
2022-04-26,162.25,162.34,156.72,156.8,154.474231115408,94008394,0.0,1.0,AAPL
2022-04-27,155.91,159.79,155.38,156.57,154.247642638644,88063191,0.0,1.0,AAPL
2022-04-28,159.25,164.515,158.93,163.64,161.212775380901,130216792,0.0,1.0,AAPL
2022-04-29,161.84,166.2,157.25,157.65,155.311623312143,131747571,0.0,1.0,AAPL
2022-05-02,156.71,158.23,153.27,157.96,155.617025172129,123055265,0.0,1.0,AAPL
2022-05-03,158.15,160.71,156.32,159.48,157.114479453349,88966526,0.0,1.0,AAPL
2022-05-04,159.67,166.48,159.26,166.02,163.55747353176,107521649,0.0,1.0,AAPL
2022-05-05,163.85,164.08,154.95,156.77,154.444676096699,130525275,0.0,1.0,AAPL
2022-05-06,156.01,159.44,154.18,157.28,155.173699891504,116124647,0.23,1.0,AAPL
2022-05-09,154.925,155.83,151.49,152.06,150.023606342206,131577921,0.0,1.0,AAPL
2022-05-10,155.52,156.74,152.93,154.51,152.440795843313,115366736,0.0,1.0,AAPL
2022-05-11,153.5,155.45,145.81,146.5,144.538066086631,142689825,0.0,1.0,AAPL
2022-05-12,142.77,146.2,138.8,142.56,140.650830725667,182602041,0.0,1.0,AAPL
2022-05-13,144.59,148.105,143.11,147.11,145.139896942009,113990852,0.0,1.0,AAPL
2022-05-16,145.55,147.5199,144.18,145.54,143.590922445381,86643781,0.0,1.0,AAPL
2022-05-17,148.86,149.77,146.68,149.24,147.241371896033,78336254,0.0,1.0,AAPL
2022-05-18,146.85,147.3601,139.9,140.82,138.9341328759,109742890,0.0,1.0,AAPL
2022-05-19,139.88,141.66,136.6,137.35,135.510603255964,136095640,0.0,1.0,AAPL
2022-05-20,139.09,140.7,132.61,137.59,135.747389166277,137426125,0.0,1.0,AAPL
2022-05-23,137.79,143.26,137.65,143.11,141.193465103466,117726265,0.0,1.0,AAPL
2022-05-24,140.805,141.97,137.33,140.36,138.480293214468,104132746,0.0,1.0,AAPL
2022-05-25,138.43,141.785,138.34,140.52,138.63815048801,92482696,0.0,1.0,AAPL
2022-05-26,137.39,144.34,137.14,143.78,141.854492436422,90601548,0.0,1.0,AAPL
2022-05-27,145.39,149.68,145.26,149.64,147.636015079887,90978503,0.0,1.0,AAPL
2022-05-31,149.07,150.66,146.84,148.84,146.846728712179,103718416,0.0,1.0,AAPL
2022-06-01,149.9,151.74,147.68,148.71,146.718469677426,74286635,0.0,1.0,AAPL
2022-06-02,147.83,151.27,146.86,151.21,149.184989576515,72348055,0.0,1.0,AAPL
2022-06-03,146.9,147.97,144.46,145.38,143.433065171839,88570289,0.0,1.0,AAPL
2022-06-06,147.03,148.5689,144.9,146.14,144.182887221162,71598380,0.0,1.0,AAPL
2022-06-07,144.345,149.0,144.1,148.71,146.718469677426,67808150,0.0,1.0,AAPL
2022-06-08,148.58,149.8697,147.46,147.96,145.978513707699,53950201,0.0,1.0,AAPL
2022-06-09,147.08,147.95,142.53,142.64,140.729759362437,69472976,0.0,1.0,AAPL
2022-06-10,140.28,140.76,137.06,137.13,135.293549504845,91566637,0.0,1.0,AAPL
2022-06-13,132.87,135.2,131.44,131.88,130.113857716757,122207099,0.0,1.0,AAPL
2022-06-14,133.13,133.89,131.48,132.76,130.982072721237,84784326,0.0,1.0,AAPL
2022-06-15,134.29,137.34,132.16,135.43,133.616315973464,91532972,0.0,1.0,AAPL
2022-06-16,132.08,132.39,129.04,130.06,128.31823123022,107961508,0.0,1.0,AAPL
2022-06-17,130.065,133.079,129.81,131.56,129.798143169674,134520290,0.0,1.0,AAPL
2022-06-21,133.42,137.06,133.32,135.87,134.050423475704,81000488,0.0,1.0,AAPL
2022-06-22,134.79,137.76,133.91,135.35,133.537387336693,73409234,0.0,1.0,AAPL
2022-06-23,136.82,138.59,135.63,138.27,136.418282578829,72433768,0.0,1.0,AAPL
2022-06-24,139.9,141.91,139.77,141.66,139.762883561994,89116837,0.0,1.0,AAPL
2022-06-27,142.695,143.49,140.965,141.66,139.762883561994,70207908,0.0,1.0,AAPL
2022-06-28,142.13,143.422,137.325,137.44,135.599397972332,67315328,0.0,1.0,AAPL
2022-06-29,137.46,140.67,136.67,139.23,137.36542622008,66242411,0.0,1.0,AAPL
2022-06-30,137.25,138.37,133.7737,136.72,134.889040241394,98964467,0.0,1.0,AAPL
2022-07-01,136.04,139.04,135.66,138.93,137.069443832189,71051552,0.0,1.0,AAPL
2022-07-05,137.77,141.61,136.93,141.56,139.664222766031,73429641,0.0,1.0,AAPL
2022-07-06,141.355,144.12,141.08,142.92,141.006009591135,74064254,0.0,1.0,AAPL
2022-07-07,143.29,146.55,143.28,146.35,144.390074892686,66253709,0.0,1.0,AAPL
2022-07-08,145.265,147.55,145.0,147.04,145.070834384834,64547798,0.0,1.0,AAPL
2022-07-11,145.67,146.64,143.78,144.87,142.929895112425,63305113,0.0,1.0,AAPL
2022-07-12,145.76,148.45,145.05,145.86,143.906636992464,77588759,0.0,1.0,AAPL
2022-07-13,142.99,146.45,142.1201,145.49,143.541592047399,71185560,0.0,1.0,AAPL
2022-07-14,144.08,148.95,143.25,148.47,146.481683767114,78140744,0.0,1.0,AAPL
2022-07-15,149.78,150.86,148.2,150.17,148.158917298494,76259931,0.0,1.0,AAPL
2022-07-18,150.74,151.57,146.7,147.07,145.100432623624,81420868,0.0,1.0,AAPL
