Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,114.95,116.055,112.09,112.1,99.8365754393547,12308070,0.0000,1.0
2021-12-02,113.25,115.7,111.93,115.14,102.544007993642,11392389,0.0000,1.0
2021-12-03,116.74,117.0,113.585,114.41,101.893867939488,10445106,0.0000,1.0
2021-12-06,115.96,117.45,115.05,116.2,103.488046976387,9833881,0.0000,1.0
2021-12-07,117.235,118.66,117.235,117.92,105.019883816313,11419641,0.0000,1.0
2021-12-08,118.39,119.26,117.66,118.45,105.491903307686,8827850,0.0000,1.0
2021-12-09,117.85,118.6,117.58,118.14,105.215816435373,8334720,0.0000,1.0
2021-12-10,118.93,119.2,116.87,118.34,105.393936998155,9090712,0.0000,1.0
2021-12-13,117.46,117.85,115.61,115.88,103.203054075936,8533029,0.0000,1.0
2021-12-14,115.74,116.915,115.47,116.22,103.505859032665,12245285,0.0000,1.0
2021-12-15,116.32,116.32,113.95,115.56,102.918061175485,11069546,0.0000,1.0
2021-12-16,116.19,118.1899,115.92,116.64,103.879912214508,11344669,0.0000,1.0
2021-12-17,115.92,116.46,113.53,113.6,101.17247966022,22768789,0.0000,1.0
2021-12-20,111.86,113.71,110.73,113.65,101.217009800916,13464426,0.0000,1.0
2021-12-21,114.43,116.07,114.29,115.47,102.837906922233,11368243,0.0000,1.0
2021-12-22,115.42,116.68,114.41,116.13,103.425704779414,8345209,0.0000,1.0
2021-12-23,116.51,117.92,116.4,116.41,103.675073567308,7416618,0.0000,1.0
2021-12-27,116.07,118.82,115.4101,118.79,105.794708264415,7746498,0.0000,1.0
2021-12-28,118.66,119.3401,118.035,118.56,105.589869617216,6516975,0.0000,1.0
2021-12-29,118.08,118.6461,117.29,117.95,105.04660190073,6957392,0.0000,1.0
2021-12-30,118.13,118.69,117.34,117.43,104.583488437497,6015963,0.0000,1.0
2021-12-31,117.38,118.09,117.13,117.35,104.512240212384,5683747,0.0000,1.0
2022-01-03,117.42,119.69,117.29,119.26,106.213291586953,10721647,0.0000,1.0
2022-01-04,119.95,121.98,119.66,121.43,108.145899693139,16413082,0.0000,1.0
2022-01-05,122.24,123.84,122.07,122.22,108.849475916128,15487063,0.0000,1.0
2022-01-06,123.62,124.32,121.64,123.26,109.775702842595,13318510,0.0000,1.0
2022-01-07,123.55,125.54,122.95,125.03,111.352069823216,14164604,0.0000,1.0
2022-01-10,125.15,125.69,123.86,125.11,111.423318048329,12626136,0.0000,1.0
2022-01-11,125.86,128.0,124.83,127.97,113.970442096113,14345991,0.0000,1.0
2022-01-12,127.99,128.4275,126.47,127.33,113.40045629521,12469166,0.0000,1.0
2022-01-13,127.14,128.1,126.45,126.8,112.928436803837,9691264,0.0000,1.0
2022-01-14,126.76,129.2,126.76,128.96,114.852138881884,13281014,0.0000,1.0
2022-01-18,129.69,130.0,127.87,129.38,115.226192063726,12783540,0.0000,1.0
2022-01-19,129.95,130.15,128.5369,128.91,114.807608741188,11664605,0.0000,1.0
2022-01-20,128.27,130.86,127.88,128.45,114.39793144679,11370408,0.0000,1.0
2022-01-21,127.76,128.4,126.229,126.91,113.026403113368,13055711,0.0000,1.0
2022-01-24,124.45,127.73,122.84,127.18,113.266865873123,19532204,0.0000,1.0
2022-01-25,127.12,132.74,125.27,132.59,118.085027096379,19984517,0.0000,1.0
2022-01-26,132.9,134.71,131.59,132.69,118.17408737777,17266510,0.0000,1.0
2022-01-27,134.45,137.0,133.59,135.37,120.560902919049,20654130,0.0000,1.0
2022-01-28,130.0,132.06,128.07,130.61,116.321633524836,24817826,0.0000,1.0
2022-01-31,130.19,131.8559,129.3301,131.33,116.962867550851,16401779,0.0000,1.0
2022-02-01,130.83,135.74,130.5144,134.79,120.044353286981,16169726,0.0000,1.0
2022-02-02,134.35,135.8,132.8,135.41,120.596527031606,10906716,0.0000,1.0
2022-02-03,134.85,135.35,133.19,134.2,119.518897626774,9447690,0.0000,1.0
2022-02-04,135.01,137.0,135.01,135.88,121.015110354144,13034732,0.0000,1.0
