Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,146.7,148.37,142.04,142.15,141.04021857222,16503227,0.0000,1.0
2021-12-02,142.84,147.65,142.77,147.2,146.050792640385,18177709,0.0000,1.0
2021-12-03,147.81,148.315,144.32,146.22,145.078443613296,14975619,0.0000,1.0
2021-12-06,147.28,150.7399,146.67,150.37,149.196044085154,14333932,0.0000,1.0
2021-12-07,151.84,152.76,149.72,150.81,149.63260895446,14661067,0.0000,1.0
2021-12-08,150.91,153.655,150.56,153.34,152.142856952966,12886261,0.0000,1.0
2021-12-09,152.27,154.29,151.7,152.94,151.745979799052,11862333,0.0000,1.0
2021-12-10,153.58,154.66,151.45,152.71,151.517775435552,10247891,0.0000,1.0
2021-12-13,152.12,152.5,149.29,150.43,149.255575658241,10195818,0.0000,1.0
2021-12-14,149.26,151.62,148.52,149.1,147.935959121477,10872028,0.0000,1.0
2021-12-15,148.76,150.92,147.35,150.4,149.225809871698,12231479,0.0000,1.0
2021-12-16,151.35,152.06,148.58,148.75,147.588691611802,11145624,0.0000,1.0
2021-12-17,148.51,149.84,146.57,148.76,147.59861354065,13878798,0.0000,1.0
2021-12-20,146.98,147.73,145.08,146.47,145.326491834492,11201921,0.0000,1.0
2021-12-21,147.56,151.425,147.39,151.05,149.870735246808,10781406,0.0000,1.0
2021-12-22,150.42,152.2,149.87,151.88,150.69425534118,7820439,0.0000,1.0
2021-12-23,152.32,154.1899,151.93,153.63,152.430592889554,6572351,0.0000,1.0
2021-12-27,152.88,154.02,151.4,152.8,151.607072795182,7765470,0.0000,1.0
2021-12-28,152.62,156.5,152.41,155.2,153.988335718667,12198679,0.0000,1.0
2021-12-29,154.56,155.92,154.18,154.87,153.660912066688,8737004,0.0000,1.0
2021-12-30,155.71,157.07,155.515,155.93,154.71263652456,7228438,0.0000,1.0
2021-12-31,155.87,156.57,154.74,154.89,153.680755924384,6189861,0.0000,1.0
2022-01-03,155.83,157.56,155.36,156.76,155.536156618932,10228257,0.0000,1.0
2022-01-04,158.59,160.32,155.55,155.73,154.514197947603,16582041,0.0000,1.0
2022-01-05,156.52,159.38,155.1,155.19,153.978413789819,12272097,0.0000,1.0
2022-01-06,156.24,157.77,153.6791,156.9,155.675063622802,11095326,0.0000,1.0
2022-01-07,156.9,159.3,156.29,157.83,156.597803005652,9554622,0.0000,1.0
2022-01-10,157.98,158.27,154.65,156.6,155.377405757366,8672855,0.0000,1.0
2022-01-11,156.62,158.22,155.9455,157.89,156.657334578739,8001932,0.0000,1.0
2022-01-12,158.5,158.99,156.33,157.8,156.568037219109,6995649,0.0000,1.0
2022-01-13,157.7,158.53,155.17,155.44,154.226462011015,9680583,0.0000,1.0
