Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,2880.0,2919.005,2818.24,2821.03,140.701262442805,1702762,0.0000,1.0
2021-12-02,2825.0,2877.29,2804.29,2859.32,142.611008648601,1459742,0.0000,1.0
2021-12-03,2873.62,2888.0,2806.02,2840.03,141.648903547797,2061508,0.0000,1.0
2021-12-06,2860.81,2877.05,2803.0,2863.1,142.799539352646,1530905,0.0000,1.0
2021-12-07,2911.93,2950.6234,2904.55,2945.39,146.903822854211,1612015,0.0000,1.0
2021-12-08,2951.93,2967.86,2928.12,2963.73,147.818545899765,1213516,0.0000,1.0
2021-12-09,2951.82,2982.0,2942.3001,2952.77,147.271906609728,1163486,0.0000,1.0
2021-12-10,2974.0,2979.55,2934.075,2960.03,147.63400526353,1223138,0.0000,1.0
2021-12-13,2955.63,2959.4,2910.35,2916.53,145.464405891577,1353470,0.0000,1.0
2021-12-14,2879.36,2889.6,2824.295,2878.14,143.549672101018,1922312,0.0000,1.0
2021-12-15,2868.18,2934.42,2833.5578,2928.82,146.077380058963,1818523,0.0000,1.0
2021-12-16,2943.41,2953.535,2872.14,2888.9,144.086336221529,1682519,0.0000,1.0
2021-12-17,2850.0,2876.69,2826.0,2834.5,141.373090110396,2550894,0.0000,1.0
2021-12-20,2800.0,2835.49,2786.42,2832.14,141.255383109987,1359618,0.0000,1.0
2021-12-21,2841.07,2877.38,2810.05,2869.45,143.116250985104,1437768,0.0000,1.0
2021-12-22,2861.35,2930.0,2861.35,2928.3,146.051444618195,1316119,0.0000,1.0
2021-12-23,2930.0,2964.87,2929.04,2938.33,146.551699369935,1319172,0.0000,1.0
2021-12-27,2945.12,2966.8799,2943.385,2958.13,147.539241153031,799223,0.0000,1.0
2021-12-28,2964.72,2965.9801,2921.0856,2933.74,146.322769229308,912715,0.0000,1.0
2021-12-29,2932.8857,2948.34,2912.95,2933.1,146.290848686824,889373,0.0000,1.0
2021-12-30,2933.88,2946.0,2919.89,2924.01,145.837477231858,784386,0.0000,1.0
2021-12-31,2921.0,2933.97,2897.04,2897.04,144.492325621246,879717,0.0000,1.0
2022-01-03,2901.1,2917.02,2874.255,2899.83,144.631479236137,1433947,0.0000,1.0
2022-01-04,2907.92,2929.6978,2874.325,2887.99,144.040949200185,1419972,0.0000,1.0
2022-01-05,2888.4,2889.9875,2753.76,2755.5,137.432898147538,2730914,0.0000,1.0
2022-01-06,2739.97,2798.8,2731.17,2754.95,137.405466431341,1867371,0.0000,1.0
2022-01-07,2762.91,2768.97,2715.33,2740.34,136.676780297451,1488028,0.0000,1.0
2022-01-10,2701.56,2776.39,2663.29,2773.39,138.325177061659,2220406,0.0000,1.0
2022-01-11,2760.14,2804.32,2733.845,2794.72,139.389028891631,1212802,0.0000,1.0
2022-01-12,2823.0,2852.155,2813.89,2828.61,141.079321367849,1305602,0.0000,1.0
2022-01-13,2830.8,2857.0,2768.18,2771.74,138.242881913068,1571830,0.0000,1.0
2022-01-14,2741.58,2814.84,2739.97,2789.61,139.134163310236,1483064,0.0000,1.0
2022-01-18,2723.5,2742.63,2708.765,2719.96,135.660310522729,1722349,0.0000,1.0
2022-01-19,2730.47,2759.19,2700.31,2702.33,134.780999328992,1400853,0.0000,1.0
2022-01-20,2725.0,2752.52,2659.2931,2666.15,132.976491161698,1495357,0.0000,1.0
2022-01-21,2651.87,2697.3106,2601.73,2607.03,130.027831049747,2782571,0.0000,1.0
2022-01-24,2519.56,2624.06,2490.0,2616.08,130.479207470808,3834712,0.0000,1.0
2022-01-25,2574.8,2587.98,2530.01,2538.7,126.619814381113,2348028,0.0000,1.0
2022-01-26,2622.38,2660.0,2542.84,2584.66,128.912108338239,2456475,0.0000,1.0
2022-01-27,2626.08,2653.045,2578.6458,2580.1,128.684674473041,1600939,0.0000,1.0
