Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,49.84,50.3062,48.52,48.6,45.0544427768352,35133403,0.0000,1.0
2021-12-02,48.61,49.7947,48.33,49.5,45.8887843097395,37240777,0.0000,1.0
2021-12-03,49.675,50.06,48.76,49.25,45.6570227728217,32224930,0.0000,1.0
2021-12-06,49.48,51.21,49.18,50.99,47.2700830697701,40335981,0.0000,1.0
2021-12-07,54.66,55.0,52.21,52.57,48.7348159830911,91731468,0.0000,1.0
2021-12-08,52.57,52.88,51.3838,51.75,47.9746381420004,37143437,0.0000,1.0
2021-12-09,51.3,51.585,50.43,50.48,46.7972895344576,31694241,0.0000,1.0
2021-12-10,50.84,51.07,50.05,50.59,46.8992646107015,23783632,0.0000,1.0
2021-12-13,50.85,51.02,49.95,50.0,46.3523073835753,35726895,0.0000,1.0
2021-12-14,49.82,50.27,49.32,49.7,46.0741935392738,34120382,0.0000,1.0
2021-12-15,49.87,50.78,49.325,50.67,46.9734283025152,32590323,0.0000,1.0
2021-12-16,50.74,51.4,50.575,50.83,47.1217556861426,33132254,0.0000,1.0
2021-12-17,50.59,51.02,50.01,50.62,46.9270759951316,50190417,0.0000,1.0
2021-12-20,49.91,50.13,48.96,49.6,45.9814889245067,30140276,0.0000,1.0
2021-12-21,49.94,50.84,49.94,50.77,47.0661329172824,31956292,0.0000,1.0
2021-12-22,50.64,51.02,50.21,50.97,47.2515421468166,23307948,0.0000,1.0
2021-12-23,51.08,51.73,51.05,51.31,47.566737837025,25198249,0.0000,1.0
2021-12-27,51.35,52.06,51.3022,51.94,48.150776910058,20990716,0.0000,1.0
2021-12-28,51.93,52.12,51.63,51.76,47.9839086034771,19290438,0.0000,1.0
2021-12-29,51.81,52.14,51.66,51.83,48.0488018338141,14174781,0.0000,1.0
2021-12-30,51.92,52.14,51.65,51.74,47.9653676805237,18359360,0.0000,1.0
2021-12-31,51.89,52.159,51.46,51.5,47.7428766050825,15759762,0.0000,1.0
2022-01-03,51.65,53.23,51.6,53.21,49.3281255176008,33892932,0.0000,1.0
2022-01-04,53.57,53.935,52.65,53.14,49.2632322872638,45681384,0.0000,1.0
2022-01-05,54.188,56.17,53.83,53.87,49.939975975064,59109324,0.0000,1.0
2022-01-06,54.61,54.67,53.415,54.01,50.069762435738,35757881,0.0000,1.0
2022-01-07,54.19,54.39,53.15,53.44,49.5413461315653,30717218,0.0000,1.0
2022-01-10,53.97,55.31,53.31,55.21,51.1822178129438,49260830,0.0000,1.0
2022-01-11,55.5,56.08,54.73,55.91,51.8311501163139,39644337,0.0000,1.0
2022-01-12,56.1363,56.28,54.81,55.74,51.6735522712097,29136787,0.0000,1.0
2022-01-13,56.0,56.21,54.77,54.94,50.9319153530725,29605351,0.0000,1.0
2022-01-14,54.85,55.77,54.53,55.7,51.6364704253029,30151532,0.0000,1.0
2022-01-18,55.31,55.65,54.68,54.76,50.7650470464917,35047550,0.0000,1.0
2022-01-19,54.63,54.85,53.56,53.62,49.7082144381461,29298705,0.0000,1.0
2022-01-20,53.86,54.085,51.94,52.04,48.2434815248252,28582607,0.0000,1.0
2022-01-21,52.08,53.1299,51.95,52.04,48.2434815248252,46372373,0.0000,1.0
2022-01-24,51.48,52.1291,49.88,51.94,48.150776910058,64273633,0.0000,1.0
2022-01-25,51.01,51.62,50.25,51.0,47.2793535312468,44095360,0.0000,1.0
2022-01-26,51.13,52.72,50.75,51.69,47.9190153731401,54895393,0.0000,1.0
2022-01-27,49.98,50.06,47.78,48.05,44.5445673956159,89642770,0.0000,1.0
2022-01-28,47.71,48.2,46.3,47.73,44.247912628361,61945408,0.0000,1.0
2022-01-31,47.68,48.87,47.305,48.82,45.2583929293229,51828446,0.0000,1.0
2022-02-01,48.775,49.03,48.36,48.95,45.3789089285202,35386062,0.0000,1.0
2022-02-02,48.245,49.58,48.09,49.51,45.8980547712162,37962659,0.0000,1.0
2022-02-03,49.25,49.685,48.25,48.28,44.7577880095803,42145836,0.0000,1.0
2022-02-04,47.86,48.2399,47.13,48.01,44.8458573936091,32431494,0.3650,1.0
2022-02-07,48.13,48.66,47.96,48.18,45.004653389379,27558469,0.0000,1.0
2022-02-08,47.98,48.94,47.9,48.81,45.5931326678204,28051185,0.0000,1.0
2022-02-09,49.33,49.97,48.825,49.91,46.6206361698611,35217300,0.0000,1.0
2022-02-10,49.18,49.9325,48.76,48.86,45.6398373724587,32762682,0.0000,1.0
2022-02-11,48.95,49.11,47.5,47.63,44.4909016383587,37208227,0.0000,1.0
2022-02-14,47.92,48.1772,47.1101,47.58,44.4441969337205,28456926,0.0000,1.0
2022-02-15,47.7,48.46,47.19,48.44,45.2475178534977,35857524,0.0000,1.0
2022-02-16,48.06,48.49,47.6,48.23,45.0513580940172,26022941,0.0000,1.0
2022-02-17,47.86,48.26,47.38,47.57,44.4348559927928,32030624,0.0000,1.0
2022-02-18,46.19,46.21,44.51,45.04,42.0715979380994,76520104,0.0000,1.0
2022-02-22,44.69,45.405,43.8501,44.69,41.744665005632,56703180,0.0000,1.0
2022-02-23,45.17,45.71,44.5514,44.65,41.7073012419214,38176736,0.0000,1.0
2022-02-24,43.9,46.79,43.625,46.72,43.6408760139433,72740052,0.0000,1.0
2022-02-25,46.93,47.79,46.25,47.71,44.5656291657798,39266331,0.0000,1.0
2022-02-28,47.0,47.82,46.85,47.7,44.5562882248522,41946114,0.0000,1.0
2022-03-01,47.54,47.9,46.22,46.82,43.7342854232197,53852979,0.0000,1.0
2022-03-02,47.52,48.99,47.48,48.87,45.6491783133863,46936509,0.0000,1.0
2022-03-03,48.18,48.55,47.6236,47.93,44.771129866188,36389883,0.0000,1.0
2022-03-04,47.37,48.265,47.37,48.07,44.9019030391749,38324991,0.0000,1.0
2022-03-07,48.005,48.54,47.6,47.68,44.5376063429969,43813747,0.0000,1.0
2022-03-08,47.69,48.72,46.89,47.5,44.3694694062994,44813947,0.0000,1.0
2022-03-09,48.41,48.46,46.885,47.63,44.4909016383587,36076458,0.0000,1.0
2022-03-10,47.29,47.31,46.155,46.66,43.5848303683774,36455953,0.0000,1.0
2022-03-11,47.15,47.275,45.765,45.83,42.8095322713831,27082085,0.0000,1.0
2022-03-14,45.9,45.98,44.3,44.4,41.4737777187303,35993898,0.0000,1.0
2022-03-15,44.5,44.9,44.07,44.81,41.8567562967637,34448890,0.0000,1.0
2022-03-16,45.3,46.63,45.27,46.63,43.5568075455945,38885498,0.0000,1.0
2022-03-17,46.32,47.2873,45.73,47.14,44.0331955329042,28554988,0.0000,1.0
2022-03-18,46.82,47.6,46.35,47.45,44.3227647016611,45188578,0.0000,1.0
2022-03-21,47.46,47.89,47.065,47.39,44.2667190560953,32568644,0.0000,1.0
2022-03-22,47.5,48.47,47.4,48.39,45.2008131488595,27802360,0.0000,1.0
2022-03-23,48.46,49.58,48.0601,48.27,45.0887218577278,37126378,0.0000,1.0
2022-03-24,48.66,51.65,48.59,51.62,48.2179370684878,51677908,0.0000,1.0
2022-03-25,50.69,51.9783,50.45,51.83,48.4140968279683,33212939,0.0000,1.0
2022-03-28,51.36,51.57,50.56,51.51,48.1151867182838,22932366,0.0000,1.0
2022-03-29,52.0,52.29,51.275,52.25,48.8064163469293,27303707,0.0000,1.0
2022-03-30,52.25,52.51,51.22,51.43,48.0404591908626,24623262,0.0000,1.0
2022-03-31,51.2,51.26,49.51,49.56,46.2937032373936,43698250,0.0000,1.0
2022-04-01,49.83,49.9,47.325,48.11,44.9392668028855,46598563,0.0000,1.0
2022-04-04,48.17,49.23,47.915,49.2,45.9574293639985,23811324,0.0000,1.0
2022-04-05,48.83,48.98,48.02,48.13,44.9579486847408,25627985,0.0000,1.0
2022-04-06,47.44,48.17,47.24,47.54,44.4068331700099,31518748,0.0000,1.0
2022-04-07,47.425,47.91,46.77,47.56,44.4255150518652,24116972,0.0000,1.0
2022-04-08,47.28,47.58,46.845,47.02,43.9211042417725,22167256,0.0000,1.0
