Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,156.88,160.0813,156.25,158.08,144.938212448353,9836412,0.0000,1.0
2021-12-02,157.26,159.29,156.75,157.09,144.030514888106,11334736,0.0000,1.0
2021-12-03,157.91,159.67,157.59,159.38,146.130138537567,8750521,0.0000,1.0
2021-12-06,160.19,163.52,159.83,162.94,149.394182289567,9692041,0.0000,1.0
2021-12-07,164.0,164.27,162.41,163.36,149.779266103005,8311254,0.0000,1.0
2021-12-08,163.47,164.57,162.64,164.34,150.677795001027,6216391,0.0000,1.0
2021-12-09,164.18,165.98,163.49,165.9,152.108106308083,8574177,0.0000,1.0
2021-12-10,165.57,166.69,164.65,165.49,151.73219115687,6572247,0.0000,1.0
2021-12-13,164.75,169.195,163.8,168.45,154.446115175387,11142277,0.0000,1.0
2021-12-14,168.33,170.97,167.16,170.29,156.133149024735,10482433,0.0000,1.0
2021-12-15,169.85,171.295,169.42,171.14,156.912485313836,8552246,0.0000,1.0
2021-12-16,171.26,173.51,170.84,173.01,158.627025149858,8998582,0.0000,1.0
2021-12-17,169.64,170.78,167.66,168.23,154.244404606443,16732018,0.0000,1.0
2021-12-20,167.81,168.51,166.55,167.75,153.804308819656,7954532,0.0000,1.0
2021-12-21,168.06,168.1,165.98,167.21,153.309201059522,7954249,0.0000,1.0
2021-12-22,167.06,168.17,166.12,167.93,153.969344739701,4178361,0.0000,1.0
2021-12-23,167.88,168.95,167.36,168.25,154.262741930892,3501450,0.0000,1.0
2021-12-27,169.14,169.85,168.7,169.67,155.564691966802,3705063,0.0000,1.0
2021-12-28,169.79,170.64,169.59,170.35,156.188160998083,3187062,0.0000,1.0
2021-12-29,170.0,171.99,169.91,171.55,157.28840046505,3661968,0.0000,1.0
2021-12-30,172.12,172.875,171.75,172.31,157.985218794128,4231812,0.0000,1.0
2021-12-31,172.53,172.6785,171.03,171.07,156.848304678263,4397524,0.0000,1.0
2022-01-03,170.21,171.6,169.1,171.54,157.279231802825,6012777,0.0000,1.0
2022-01-04,171.06,172.29,170.595,171.08,156.857473340488,6748363,0.0000,1.0
2022-01-05,172.0,173.47,171.62,172.22,157.902700834106,7016099,0.0000,1.0
2022-01-06,172.15,172.5,170.8,171.63,157.361749762847,7301633,0.0000,1.0
2022-01-07,171.46,174.3,171.13,173.95,159.488879398982,6986006,0.0000,1.0
2022-01-10,173.69,173.69,172.155,173.09,158.700374447656,7698444,0.0000,1.0
2022-01-11,172.99,173.39,170.11,171.25,157.013340598308,8126404,0.0000,1.0
2022-01-12,169.61,170.08,168.34,169.79,155.674715913499,8116205,0.0000,1.0
2022-01-13,169.0,170.42,168.46,168.76,154.730343704353,6159444,0.0000,1.0
2022-01-14,168.625,168.65,167.15,167.84,153.886826779679,5847839,0.0000,1.0
2022-01-18,167.1,167.715,166.01,167.1,153.20834577505,7329346,0.0000,1.0
2022-01-19,167.2,168.72,166.3165,166.58,152.731575339364,5921517,0.0000,1.0
