Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,52.98,53.52,52.28,52.3,48.1639058320237,18724144,0.0000,1.0
2021-12-02,52.6,53.34,52.505,53.07,48.8730111377725,17074165,0.0000,1.0
2021-12-03,53.33,53.61,52.98,53.54,49.3058416490736,21064353,0.0000,1.0
2021-12-06,54.31,55.25,54.14,54.91,50.5674965437175,26624137,0.0000,1.0
2021-12-07,55.02,55.415,54.85,55.21,50.843771338165,23832724,0.0000,1.0
2021-12-08,55.12,55.35,54.36,55.0,50.6503789820517,18026446,0.0000,1.0
2021-12-09,54.75,55.13,54.585,54.86,50.5214507446429,13846415,0.0000,1.0
2021-12-10,55.25,56.32,55.07,56.28,51.8291514383613,23153567,0.0000,1.0
2021-12-13,56.98,57.93,56.955,57.76,53.1921070909692,31362827,0.0000,1.0
2021-12-14,57.4,58.17,57.4,57.8,53.2289437302289,24806569,0.0000,1.0
2021-12-15,57.93,58.25,57.65,58.06,53.4683818854168,24923791,0.0000,1.0
2021-12-16,57.98,58.88,57.9,58.65,54.011722314497,24696859,0.0000,1.0
2021-12-17,58.49,58.92,57.7,57.73,53.1644796115245,51899377,0.0000,1.0
2021-12-20,57.2,57.78,57.0,57.54,52.989505575041,20879477,0.0000,1.0
2021-12-21,57.61,57.965,57.53,57.77,53.2013162507842,15864885,0.0000,1.0
2021-12-22,57.71,58.19,57.49,58.18,53.5788918031958,12447436,0.0000,1.0
2021-12-23,58.52,58.61,57.94,58.22,53.6157284424555,11027341,0.0000,1.0
2021-12-27,58.0,58.69,58.0,58.65,54.011722314497,9862192,0.0000,1.0
2021-12-28,58.4,58.94,58.3,58.88,54.2235329902401,8982271,0.0000,1.0
2021-12-29,58.95,59.095,58.66,58.95,54.2879971089445,9996046,0.0000,1.0
2021-12-30,59.06,59.23,58.76,58.78,54.1314413920909,7703896,0.0000,1.0
2021-12-31,58.75,59.35,58.695,59.21,54.5274352641324,10005007,0.0000,1.0
2022-01-03,58.82,59.31,58.375,59.3,54.6103177024667,20188377,0.0000,1.0
2022-01-04,59.73,60.535,59.59,60.29,55.5220245241436,26141584,0.0000,1.0
2022-01-05,60.09,61.195,60.05,60.79,55.9824825148895,22507262,0.0000,1.0
2022-01-06,60.465,61.115,60.435,60.47,55.6877894008122,17902345,0.0000,1.0
2022-01-07,60.275,60.72,60.06,60.33,55.5588611634033,12307896,0.0000,1.0
2022-01-10,60.55,60.82,60.18,60.43,55.6509527615525,20954345,0.0000,1.0
2022-01-11,60.43,60.49,59.84,60.45,55.6693710811823,17591613,0.0000,1.0
2022-01-12,60.53,60.685,60.19,60.54,55.7522535195166,15753809,0.0000,1.0
2022-01-13,60.54,61.04,60.385,60.9,56.0837832728537,14317992,0.0000,1.0
2022-01-14,60.94,61.45,60.36,61.39,56.5350321037847,19729632,0.0000,1.0
2022-01-18,61.06,61.19,60.45,60.9,56.0837832728537,20616874,0.0000,1.0
2022-01-19,60.66,61.18,60.555,61.0,56.1758748710028,18072085,0.0000,1.0
2022-01-20,61.0,61.44,60.72,60.75,55.9456458756299,23002353,0.0000,1.0
2022-01-21,61.08,61.3,60.3982,60.45,55.6693710811823,26643161,0.0000,1.0
2022-01-24,59.9,60.35,58.57,59.96,55.2181222502513,30207455,0.0000,1.0
2022-01-25,59.36,60.045,58.69,59.82,55.0891940128425,19027109,0.0000,1.0
2022-01-26,59.79,60.345,59.21,59.6,54.8865924969142,19190239,0.0000,1.0
2022-01-27,59.88,60.925,59.5,59.65,54.9326382959888,18898682,0.0000,1.0
2022-01-28,59.39,60.89,58.94,60.84,56.0285283139641,19101494,0.0000,1.0
2022-01-31,60.3,61.14,60.15,61.01,56.1850840308178,22045321,0.0000,1.0
2022-02-01,60.91,61.14,60.16,60.56,55.7706718391464,20841657,0.0000,1.0
2022-02-02,60.62,61.27,60.56,61.18,56.3416397476714,20225579,0.0000,1.0
2022-02-03,60.94,61.78,60.585,61.61,56.7376336197129,19440490,0.0000,1.0
2022-02-04,61.49,61.68,60.57,60.96,56.1390382317432,17403729,0.0000,1.0
2022-02-07,61.38,61.72,60.86,61.6,56.7284244598979,17846411,0.0000,1.0
