Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,320.78,322.02,306.0,306.28,300.929924039461,8014842,0.0000,1.0
2021-12-02,309.59,322.2,308.985,320.2,314.606770528391,6717594,0.0000,1.0
2021-12-03,320.24,322.685,314.0,322.11,316.483406792317,4732940,0.0000,1.0
2021-12-06,324.75,336.76,322.0,333.33,327.50741667779,6054959,0.0000,1.0
2021-12-07,337.3,342.42,337.3,339.51,333.579464903479,4939515,0.0000,1.0
2021-12-08,339.23,344.025,334.1,342.34,336.360030676731,4226942,0.0000,1.0
2021-12-09,340.05,346.53,339.01,344.52,338.501950601003,3389627,0.0000,1.0
2021-12-10,347.0,350.25,344.83,349.92,343.807623807915,3405910,0.0000,1.0
2021-12-13,349.19,349.53,340.33,345.31,339.278150940533,4358322,0.0000,1.0
2021-12-14,345.32,348.21,337.86,340.55,334.601298261847,4518478,0.0000,1.0
2021-12-15,340.0,346.59,335.53,346.35,340.299984298901,4918678,0.0000,1.0
2021-12-16,351.7,353.77,345.12,352.92,346.755220033978,5369922,0.0000,1.0
2021-12-17,349.19,352.79,344.12,349.31,343.208279241949,5898831,0.0000,1.0
2021-12-20,341.24,343.525,336.23,337.02,331.132960035847,5013898,0.0000,1.0
2021-12-21,340.33,352.0,339.37,350.74,344.613300109706,3105438,0.0000,1.0
2021-12-22,346.58,358.62,346.58,357.48,351.235566297592,3456400,0.0000,1.0
2021-12-23,357.54,362.47,355.0,360.58,354.28141573119,2626991,0.0000,1.0
2021-12-27,360.0,361.081,355.5953,360.31,354.016132070845,2679603,0.0000,1.0
2021-12-28,358.79,364.1375,358.41,360.78,354.477922146261,1920249,0.0000,1.0
2021-12-29,361.78,363.15,360.19,361.29,354.979013504692,1535298,0.0000,1.0
2021-12-30,362.0,364.65,359.11,360.99,354.684253882085,1557977,0.0000,1.0
2021-12-31,357.95,363.38,356.78,359.32,353.043425316244,1974483,0.0000,1.0
2022-01-03,359.79,372.32,359.25,370.95,364.470273352612,4714310,0.0000,1.0
2022-01-04,371.99,382.4,371.645,375.39,368.832715767185,6854546,0.0000,1.0
2022-01-05,374.0,382.5,372.51,373.9,367.368742974907,5976597,0.0000,1.0
2022-01-06,368.69,374.215,366.5,370.0,364.01830859795,4781145,0.4900,1.0
2022-01-07,366.39,371.79,364.11,369.65,363.673966954681,4551189,0.0000,1.0
2022-01-10,370.91,370.91,348.77,363.91,358.026764005081,6009380,0.0000,1.0
2022-01-11,363.53,368.06,356.09,366.29,360.368287179305,4130765,0.0000,1.0
2022-01-12,368.94,372.12,367.07,367.31,361.371797111116,5783149,0.0000,1.0
2022-01-13,368.61,377.68,367.88,369.52,363.546068630039,3892898,0.0000,1.0
2022-01-14,364.32,374.78,364.15,372.14,366.123711788219,4029901,0.0000,1.0
2022-01-18,370.79,372.14,365.2,366.3,360.37812551197,4933026,0.0000,1.0
2022-01-19,362.41,369.3,359.71,360.73,354.898174217671,4396093,0.0000,1.0
2022-01-20,361.83,373.0721,361.67,364.0,358.115308999064,5043173,0.0000,1.0
2022-01-21,362.5,368.13,354.11,355.08,349.339516262054,4867051,0.0000,1.0
2022-01-24,342.57,350.1,330.59,349.42,343.771019973772,7474532,0.0000,1.0
2022-01-25,343.32,347.04,333.39,338.76,333.283357353085,6994447,0.0000,1.0
2022-01-26,343.36,354.765,341.25,344.66,339.087973625322,7438611,0.0000,1.0
2022-01-27,349.08,359.63,334.33,350.53,344.863074899566,8417289,0.0000,1.0
2022-01-28,359.05,382.77,355.38,382.51,376.326062761626,8813402,0.0000,1.0
2022-01-31,378.68,386.55,376.29,386.38,380.133497502908,6345160,0.0000,1.0
2022-02-01,385.76,395.5,382.42,392.06,385.721670456519,5841117,0.0000,1.0
2022-02-02,389.29,399.92,382.75,396.75,390.335848476315,6115014,0.0000,1.0
2022-02-03,388.54,392.94,386.49,390.07,383.763842256222,4209203,0.0000,1.0
2022-02-04,387.57,388.15,376.4106,382.2,376.021074449017,6045366,0.0000,1.0
2022-02-07,382.2,382.4,373.31,376.13,370.049206521478,4767606,0.0000,1.0
2022-02-08,377.54,379.7699,370.54,374.37,368.317659972471,5825322,0.0000,1.0
2022-02-09,385.6,388.45,380.6,381.37,375.204492837838,5492834,0.0000,1.0
2022-02-10,371.72,380.0,370.5582,374.39,368.337336637801,3994988,0.0000,1.0
2022-02-11,377.86,380.9,367.64,369.77,363.792026946659,4345551,0.0000,1.0
2022-02-14,368.82,377.29,366.76,374.16,368.11105498651,3678394,0.0000,1.0
2022-02-15,374.58,383.07,373.4,381.54,375.37174449314,5800709,0.0000,1.0
