Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,330.29,330.5,310.29,310.6,309.670788831186,30384083,0.0000,1.0
2021-12-02,311.4,314.6,307.2,310.39,309.461417080849,24396169,0.0000,1.0
2021-12-03,313.73,313.75,299.5,306.84,305.922037491825,27471010,0.0000,1.0
2021-12-06,308.13,320.1,306.34,317.87,316.919039426172,21758340,0.0000,1.0
2021-12-07,321.57,326.54,321.0,322.81,321.844260600757,18794047,0.0000,1.0
2021-12-08,325.0,332.75,323.07,330.56,329.571075196512,19937722,0.0000,1.0
2021-12-09,329.54,336.13,328.0,329.82,328.833289028659,16879168,0.0000,1.0
2021-12-10,332.555,335.03,326.37,329.75,328.763498445214,14527969,0.0000,1.0
2021-12-13,330.95,341.09,329.59,334.49,333.489317952811,22948655,0.0000,1.0
2021-12-14,328.05,335.7,327.65,333.74,332.741561701609,20461024,0.0000,1.0
2021-12-15,332.4935,342.11,323.98,341.66,340.637867714304,24681326,0.0000,1.0
2021-12-16,338.98,344.46,333.74,334.9,333.898091370135,22635025,0.0000,1.0
2021-12-17,332.795,337.11,330.75,333.79,332.791412118356,40012637,0.0000,1.0
2021-12-20,329.775,329.9,322.53,325.45,324.476362604988,17901783,0.0000,1.0
2021-12-21,326.41,336.0,323.75,334.2,333.20018553568,16116784,0.0000,1.0
2021-12-22,333.8003,334.51,328.26,330.45,329.461404279669,16764566,0.0000,1.0
2021-12-23,330.1,336.67,328.36,335.24,334.237074204014,13987698,0.0000,1.0
2021-12-27,338.845,347.87,338.01,346.18,345.144345388216,17795026,0.0000,1.0
2021-12-28,346.63,352.71,345.2,346.22,345.184225721613,16637608,0.0000,1.0
2021-12-29,346.91,349.6899,341.6401,342.94,341.914038383022,10747009,0.0000,1.0
2021-12-30,344.0,347.23,343.22,344.36,343.329790218632,10593347,0.0000,1.0
2021-12-31,343.015,343.44,336.27,336.35,335.343753455793,12516527,0.0000,1.0
2022-01-03,338.295,341.0816,337.19,338.54,337.527201709303,14562849,0.0000,1.0
2022-01-04,339.95,343.0854,331.8711,336.53,335.523214956081,15997974,0.0000,1.0
2022-01-05,333.02,335.76,323.84,324.17,323.20019193627,20564521,0.0000,1.0
2022-01-06,322.82,339.165,322.72,332.46,331.465391032891,27962809,0.0000,1.0
2022-01-07,332.74,337.0,328.8801,331.79,330.797395448484,14722020,0.0000,1.0
2022-01-10,325.31,328.34,315.43,328.07,327.088524442521,24942383,0.0000,1.0
2022-01-11,326.78,334.63,325.28,334.37,333.369676952619,16191633,0.0000,1.0
2022-01-12,335.18,336.365,330.03,333.26,332.26299770084,14104858,0.0000,1.0
2022-01-13,334.98,335.63,325.76,326.48,325.503281189972,14797109,0.0000,1.0
2022-01-14,321.79,332.73,321.21,331.9,330.907066365327,16868497,0.0000,1.0
2022-01-18,323.29,324.21,317.64,318.15,317.198201759954,22352652,0.0000,1.0
2022-01-19,319.5822,327.1,319.33,319.59,318.633893762262,20563976,0.0000,1.0
2022-01-20,323.9,327.82,315.98,316.56,315.612958507405,16925030,0.0000,1.0
2022-01-21,314.81,318.31,303.04,303.17,302.263016902609,28710717,0.0000,1.0
2022-01-24,297.84,309.53,289.01,308.71,307.786443078156,38936901,0.0000,1.0
2022-01-25,299.95,306.23,297.58,300.15,299.252051731102,25108454,0.0000,1.0
2022-01-26,307.01,307.51,290.85,294.63,293.748565722254,28348801,0.0000,1.0
2022-01-27,297.752,301.709,294.26,294.64,293.758535805604,21629922,0.0000,1.0
2022-01-28,295.6204,301.9,293.0333,301.71,300.807384733603,21871620,0.0000,1.0
2022-01-31,300.68,313.79,299.32,313.26,312.322831002116,21579474,0.0000,1.0
2022-02-01,314.555,319.6598,312.12,319.0,318.04565884465,18023796,0.0000,1.0
2022-02-02,327.82,328.0,316.8747,323.0,322.033692184394,58458280,0.0000,1.0
2022-02-03,244.645,248.0,235.745,237.76,237.048701714432,188119925,0.0000,1.0
2022-02-04,234.97,242.6099,230.11,237.09,236.380706130025,89342247,0.0000,1.0
2022-02-07,237.7,238.3,224.01,224.91,224.237144610502,88613826,0.0000,1.0
2022-02-08,220.85,225.77,216.15,220.18,219.521295186254,94729672,0.0000,1.0
2022-02-09,224.2,233.37,222.21,232.0,231.3059337052,86563275,0.0000,1.0
2022-02-10,228.27,235.0,226.7,228.07,227.3876909489,49310356,0.0000,1.0
2022-02-11,228.46,230.42,218.7701,219.55,218.893179935244,46156943,0.0000,1.0
2022-02-14,219.31,221.0,214.78,217.7,217.048714515612,38184035,0.0000,1.0
2022-02-15,220.47,221.15,215.06,221.0,220.338842020901,42685473,0.0000,1.0
2022-02-16,212.41,217.46,212.36,216.54,215.892184847086,45817457,0.0000,1.0
2022-02-17,214.02,217.5,207.1601,207.71,207.088601249599,38747533,0.0000,1.0
2022-02-18,209.39,210.75,205.18,206.16,205.543238330448,37128438,0.0000,1.0
2022-02-22,202.34,207.48,200.06,202.08,201.475444323908,39703994,0.0000,1.0
2022-02-23,204.16,206.94,198.05,198.45,197.85630406809,44481359,0.0000,1.0
2022-02-24,191.06,208.35,190.22,207.6,206.978930332756,49957167,0.0000,1.0
2022-02-25,204.94,211.32,203.18,210.48,209.850314337373,37627551,0.0000,1.0
2022-02-28,207.675,213.1508,206.83,211.03,210.398668921587,34239803,0.0000,1.0
2022-03-01,209.87,211.7517,202.22,203.49,202.881226076169,27094902,0.0000,1.0
2022-03-02,204.775,209.15,202.02,208.11,207.487404583574,29452147,0.0000,1.0
2022-03-03,209.015,209.08,201.42,202.97,202.362781742002,27263524,0.0000,1.0
2022-03-04,202.37,205.89,198.79,200.06,199.461487487337,32146264,0.0000,1.0
2022-03-07,200.79,200.89,187.28,187.47,186.90915255049,38560609,0.0000,1.0
2022-03-08,187.85,196.7,186.11,190.29,189.720716055011,37508149,0.0000,1.0
2022-03-09,195.74,199.1,193.92,198.5,197.906154484837,31894695,0.0000,1.0
2022-03-10,194.84,196.28,191.068,195.21,194.625997062897,24852975,0.0000,1.0
2022-03-11,192.635,193.56,186.67,187.61,187.048733717382,34694534,0.0000,1.0
2022-03-14,187.03,192.29,185.82,186.63,186.071665549144,31010462,0.0000,1.0
2022-03-15,190.8,192.28,185.911,192.03,191.4555105578,31721682,0.0000,1.0
2022-03-16,194.7,203.73,194.52,203.63,203.02080724306,40640264,0.0000,1.0
2022-03-17,201.7,208.04,201.11,207.84,207.218212333141,29499681,0.0000,1.0
2022-03-18,206.7,216.8,206.0,216.49,215.842334430339,51235040,0.0000,1.0
2022-03-21,214.5,214.71,207.63,211.49,210.857292755658,29072837,0.0000,1.0
2022-03-22,211.37,219.46,210.18,216.65,216.001855763929,31794933,0.0000,1.0
2022-03-23,213.33,216.7988,212.16,213.46,212.821399175482,23717321,0.0000,1.0
2022-03-24,215.0,220.67,214.79,219.57,218.913120101943,31502314,0.0000,1.0
2022-03-25,220.51,225.5,218.8901,221.82,221.156388855549,39854786,0.0000,1.0
2022-03-28,222.13,224.04,219.54,223.59,222.921093608386,26224141,0.0000,1.0
2022-03-29,226.07,230.89,225.29,229.86,229.172335868436,31417857,0.0000,1.0
2022-03-30,228.91,231.151,226.71,227.85,227.168349115214,25588046,0.0000,1.0
2022-03-31,228.45,228.49,222.26,222.36,221.694773356415,24192266,0.0000,1.0
2022-04-01,224.55,227.28,222.7,224.85,224.177324110406,19544758,0.0000,1.0
2022-04-04,225.98,234.351,225.86,233.89,233.190279458229,28100826,0.0000,1.0
2022-04-05,234.08,236.86,231.02,231.84,231.14641237161,29525086,0.0000,1.0
2022-04-06,226.91,228.9899,221.405,223.3,222.631961191255,28995080,0.0000,1.0
2022-04-07,223.93,225.52,218.56,222.95,222.283008274027,21037187,0.0000,1.0
2022-04-08,222.38,225.13,220.0283,222.33,221.664863106367,18375711,0.0000,1.0
2022-04-11,218.42,220.61,215.2198,216.46,215.812424180291,20516586,0.0000,1.0
2022-04-12,220.235,222.03,213.13,214.14,213.499364843239,20128827,0.0000,1.0
2022-04-13,211.82,216.61,211.33,214.99,214.346821927935,19231816,0.0000,1.0
2022-04-14,214.89,214.99,210.0,210.18,209.551211836892,18379455,0.0000,1.0
2022-04-18,210.0,213.38,208.3,210.77,210.139446754504,16580792,0.0000,1.0
2022-04-19,210.52,218.4299,209.0,217.31,216.659881264987,20089871,0.0000,1.0
2022-04-20,213.605,214.16,198.92,200.42,199.820410487914,42859593,0.0000,1.0
2022-04-21,201.6,202.965,185.58,188.07,187.507357551452,49954078,0.0000,1.0
2022-04-22,190.37,192.72,183.27,184.11,183.559204545105,36426769,0.0000,1.0
2022-04-25,182.73,187.18,181.655,186.99,186.430588549721,29281060,0.0000,1.0
2022-04-26,186.63,187.185,179.5,180.95,180.408658206706,30872853,0.0000,1.0
2022-04-27,174.43,181.2099,169.0,174.95,174.426608197089,71062886,0.0000,1.0
2022-04-28,202.92,208.53,192.9,205.73,205.114524746426,100890551,0.0000,1.0
2022-04-29,204.46,212.48,199.9,200.47,199.870260904661,49193434,0.0000,1.0
2022-05-02,201.165,211.88,200.99,211.13,210.498369755081,49915289,0.0000,1.0
2022-05-03,210.45,214.8999,208.09,212.03,211.395677256524,41556267,0.0000,1.0
2022-05-04,210.65,224.3,206.96,223.41,222.741632108098,41197345,0.0000,1.0
2022-05-05,218.74,220.17,206.16,208.28,207.656896000513,41129192,0.0000,1.0
2022-05-06,207.34,209.38,201.02,203.77,203.160388409951,34747158,0.0000,1.0
2022-05-09,199.84,202.57,195.58,196.21,195.623005397833,36303200,0.0000,1.0
2022-05-10,199.51,202.96,194.19,197.65,197.058697400141,34452491,0.0000,1.0
2022-05-11,196.325,200.6742,188.27,188.74,188.175353135859,31153383,0.0000,1.0
2022-05-12,187.055,198.05,184.78,191.24,190.6678739732,38262226,0.0000,1.0
2022-05-13,192.58,199.89,191.28,198.62,198.025795485029,24549844,0.0000,1.0
2022-05-16,197.05,205.37,195.93,200.04,199.441547320639,27112595,0.0000,1.0
2022-05-17,202.115,205.46,198.36,202.62,202.013828824774,24872729,0.0000,1.0
2022-05-18,200.0,201.0,191.63,192.24,191.664882308136,23959966,0.0000,1.0
2022-05-19,191.2,195.29,189.6,191.29,190.717724389947,24446938,0.0000,1.0
2022-05-20,194.97,197.91,187.87,193.54,192.960993143553,31465570,0.0000,1.0
2022-05-23,195.19,196.9924,191.24,196.23,195.642945564532,25059161,0.0000,1.0
2022-05-24,180.55,183.6759,176.11,181.28,180.737670957235,50406273,0.0000,1.0
2022-05-25,180.4,185.45,179.32,183.83,183.280042211323,28030194,0.0000,1.0
2022-05-26,182.878,192.8301,182.26,191.63,191.056707223825,23056455,0.0000,1.0
2022-05-27,191.36,195.3329,189.8,195.13,194.546236396102,22562727,0.0000,1.0
2022-05-31,194.885,197.6,192.01,193.64,193.060693977047,26131103,0.0000,1.0
2022-06-01,196.51,199.53,185.0,188.64,188.075652302366,36623495,0.0000,1.0
2022-06-02,188.45,200.935,187.73,198.86,198.265077485414,31951582,0.0000,1.0
2022-06-03,195.98,196.61,189.78,190.78,190.209250139129,19464993,0.0000,1.0
2022-06-06,193.99,196.92,188.4,194.25,193.668869061358,30574242,0.0000,1.0
2022-06-07,191.93,196.53,191.49,195.65,195.064680730269,18828687,0.0000,1.0
2022-06-08,194.67,202.03,194.41,196.64,196.051718981855,22267154,0.0000,1.0
2022-06-09,194.28,199.45,183.68,184.0,183.449533628262,23501579,0.0000,1.0
2022-06-10,183.04,183.1,175.02,175.57,175.04475336475,27478354,0.0000,1.0
2022-06-13,170.59,172.575,164.03,164.26,163.768589096621,31749304,0.0000,1.0
2022-06-14,166.03,166.75,161.3601,163.73,163.240174679105,27244274,0.0000,1.0
2022-06-15,167.2,172.16,163.975,169.35,168.843361521446,30008251,0.0000,1.0
2022-06-16,163.72,165.08,159.61,160.87,160.388730841187,26944143,0.0000,1.0
2022-06-17,161.68,165.9,159.9,163.74,163.250144762454,31374215,0.0000,1.0
2022-06-21,165.93,167.76,155.97,157.05,156.580159001731,50724899,0.0000,1.0
2022-06-22,158.38,160.79,155.44,155.85,155.383748999808,47596820,0.0000,1.0
2022-06-23,156.27,159.75,154.25,158.75,158.275073171123,40499198,0.0000,1.0
2022-06-24,161.725,170.25,161.3,170.16,169.650938272745,68736009,0.0000,1.0
2022-06-27,171.32,171.75,168.01,169.49,168.982942688337,29174559,0.0000,1.0
2022-06-28,169.9,171.3,160.61,160.68,160.19929925755,27788725,0.0000,1.0
2022-06-29,163.57,166.33,160.32,163.94,163.449546429442,28595236,0.0000,1.0
2022-06-30,162.15,165.23,158.49,161.25,160.767594008463,35250605,0.0000,1.0
2022-07-01,160.31,160.62,155.0,160.03,159.551243839841,31423933,0.0000,1.0
2022-07-05,158.14,168.25,157.02,168.19,167.68683185292,28664799,0.0000,1.0
2022-07-06,168.2,171.59,165.46,169.77,169.26210502212,23085921,0.0000,1.0
2022-07-07,169.45,172.72,167.78,172.19,171.674865192665,24083368,0.0000,1.0
2022-07-08,169.98,172.4,168.1501,170.88,170.368784273899,19249243,0.0000,1.0
2022-07-11,167.065,167.49,161.91,162.88,162.392717594409,21905133,0.0000,1.0
2022-07-12,164.8,165.9107,162.1,163.27,162.781550845034,16639659,0.0000,1.0
2022-07-13,160.16,164.98,159.6127,163.49,163.00089267872,16555138,0.0000,1.0
2022-07-14,161.22,162.59,157.2801,158.05,157.577167336667,23765168,0.0000,1.0
2022-07-15,160.54,164.98,159.82,164.7,164.207272763993,23342807,0.0000,1.0
2022-07-18,166.75,171.685,165.64,167.23,166.729703851382,23574337,0.0000,1.0
2022-07-19,170.37,176.49,169.51,175.78,175.254125115086,25933679,0.0000,1.0
2022-07-20,177.485,183.6,176.7,183.09,182.54225604347,24784274,0.0000,1.0
2022-07-21,180.63,183.85,178.87,183.17,182.622016710265,27195815,0.0000,1.0
2022-07-22,173.07,175.5995,168.41,169.27,168.763600854652,42583916,0.0000,1.0
2022-07-25,169.0,170.57,164.805,166.65,166.151439017119,26166326,0.0000,1.0
2022-07-26,165.94,166.0,157.95,159.15,158.673876505097,28468424,0.0000,1.0
2022-07-27,162.59,170.87,162.02,169.58,169.072673438482,43846557,0.0000,1.0
2022-07-28,161.06,161.51,154.85,160.72,160.239179590947,73214326,0.0000,1.0
2022-07-29,157.69,160.14,155.17,159.1,158.62402608835,42065395,0.0000,1.0
2022-08-01,157.25,165.19,155.2301,159.93,159.451543006347,40596702,0.0000,1.0
2022-08-02,158.31,162.24,158.01,160.19,159.710765173431,27374516,0.0000,1.0
2022-08-03,162.69,169.54,161.57,168.8,168.295006937232,31717527,0.0000,1.0
2022-08-04,168.295,172.15,166.8,170.57,170.059711690069,23938212,0.0000,1.0
2022-08-05,166.99,171.612,165.8,167.11,166.610062851189,25832701,0.0000,1.0
2022-08-08,168.0,177.51,167.13,170.25,169.740669022889,27299113,0.0000,1.0
2022-08-09,168.95,169.53,166.6,168.53,168.025814686799,18655056,0.0000,1.0
2022-08-10,175.99,180.48,173.95,178.34,177.806466452523,30262132,0.0000,1.0
2022-08-11,179.71,183.1,176.37,177.49,176.959009367827,24079062,0.0000,1.0
2022-08-12,180.81,181.4572,178.911,180.5,179.960004455985,21274046,0.0000,1.0
2022-08-15,178.96,181.44,178.2,180.89,180.34883770661,15878671,0.0000,1.0
2022-08-16,179.44,180.99,177.035,179.47,178.933085871001,21156710,0.0000,1.0
2022-08-17,176.76,178.14,174.17,174.85,174.326907363596,20118133,0.0000,1.0
2022-08-18,174.34,175.76,171.86,174.66,174.137475779958,18844451,0.0000,1.0
2022-08-19,170.2,172.32,167.05,167.96,167.457519935885,26240799,0.0000,1.0
2022-08-22,165.49,165.49,162.26,163.05,162.562209011348,19499711,0.0000,1.0
2022-08-23,162.48,165.05,160.7,161.11,160.628012841572,18111777,0.0000,1.0
2022-08-24,160.6,165.46,159.77,163.26,162.771580761685,20891481,0.0000,1.0
2022-08-25,165.18,168.88,164.02,168.78,168.275066770533,15550514,0.0000,1.0
2022-08-26,168.48,170.92,161.6726,161.78,161.296008425979,24023633,0.0000,1.0
2022-08-29,160.655,163.05,159.01,159.17,158.693816671796,19771863,0.0000,1.0
2022-08-30,160.355,161.66,155.91,157.16,156.689829918574,19567948,0.0000,1.0
2022-08-31,167.07,167.84,162.14,162.93,162.442568011156,40952975,0.0000,1.0
2022-09-01,163.58,167.3599,160.345,165.36,164.865298265051,30145683,0.0000,1.0
2022-09-02,167.45,167.93,159.22,160.32,159.840376256972,22634191,0.0000,1.0
2022-09-06,160.1,161.69,157.69,158.54,158.065701420786,19282598,0.0000,1.0
2022-09-07,157.76,160.955,156.81,160.39,159.910166840418,16831182,0.0000,1.0
2022-09-08,158.71,162.23,157.74,162.06,161.575170759761,22530785,0.0000,1.0
2022-09-09,163.248,169.54,163.02,169.15,168.643959854459,22129802,0.0000,1.0
2022-09-12,167.39,171.39,167.28,168.96,168.454528270821,23220405,0.0000,1.0
2022-09-13,161.54,161.63,152.67,153.13,152.671886328781,44444061,0.0000,1.0
2022-09-14,153.33,153.54,149.05,151.47,151.016852492787,43064195,0.0000,1.0
2022-09-15,149.8,154.1984,148.7,149.55,149.10259648971,34606348,0.0000,1.0
2022-09-16,148.05,148.58,144.2935,146.29,145.852349317818,40122824,0.0000,1.0
2022-09-19,145.235,148.58,145.1,148.02,147.577173737257,22169477,0.0000,1.0
