Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,335.13,339.28,329.39,330.08,321.717510445925,33401146,0.0000,1.0
2021-12-02,330.3,333.49,327.8028,329.49,321.142457939978,30765980,0.0000,1.0
2021-12-03,331.99,332.7,318.03,323.01,314.8266270272,41779279,0.0000,1.0
2021-12-06,323.95,327.45,319.23,326.19,317.92606256773,30032556,0.0000,1.0
2021-12-07,331.64,335.8,330.1,334.92,326.434890325222,31021936,0.0000,1.0
2021-12-08,335.31,335.5,330.8,334.97,326.483623588438,24760988,0.0000,1.0
2021-12-09,334.41,336.489,332.12,333.1,324.660999544164,22214158,0.0000,1.0
2021-12-10,334.98,343.0,334.79,342.54,333.861839639321,38095694,0.0000,1.0
2021-12-13,340.68,343.79,339.08,339.4,330.801390709364,28899431,0.0000,1.0
2021-12-14,333.22,334.64,324.11,328.34,320.021592886013,44438699,0.0000,1.0
2021-12-15,328.61,335.19,324.5,334.65,326.171730703856,35381122,0.0000,1.0
2021-12-16,335.71,336.76,323.02,324.9,316.66874437676,35034831,0.0000,1.0
2021-12-17,320.88,324.92,317.25,323.8,315.596612586011,47983713,0.0000,1.0
2021-12-20,320.05,322.8,317.57,319.91,311.805164707816,28326532,0.0000,1.0
2021-12-21,323.29,327.73,319.8,327.29,318.998194358479,24740597,0.0000,1.0
2021-12-22,328.3,333.605,325.75,333.2,324.758466070596,24831493,0.0000,1.0
2021-12-23,332.75,336.39,332.73,334.69,326.210717314429,19617848,0.0000,1.0
2021-12-27,335.46,342.48,335.43,342.45,333.774119765533,19947029,0.0000,1.0
2021-12-28,343.15,343.81,340.32,341.25,332.604521448352,15661467,0.0000,1.0
2021-12-29,341.3,344.3,339.68,341.95,333.286787133374,15041956,0.0000,1.0
2021-12-30,341.91,343.13,338.82,339.32,330.723417488219,15994471,0.0000,1.0
2021-12-31,338.51,339.355,335.85,336.32,327.799421695266,17772880,0.0000,1.0
2022-01-03,335.35,338.0,329.78,334.75,326.269197230288,28918013,0.0000,1.0
2022-01-04,334.83,335.2,326.12,329.01,320.674618613105,32674306,0.0000,1.0
2022-01-05,325.86,326.07,315.98,316.38,308.364596324775,40054327,0.0000,1.0
2022-01-06,313.15,318.7,311.49,313.88,305.927933163981,39646148,0.0000,1.0
2022-01-07,314.15,316.5,310.09,314.04,306.083879606272,32720018,0.0000,1.0
2022-01-10,309.485,314.72,304.69,314.27,306.308052617065,44289467,0.0000,1.0
2022-01-11,313.38,316.61,309.89,314.98,307.000064954731,29267314,0.0000,1.0
2022-01-12,319.67,323.41,317.08,318.27,310.206713674335,34372217,0.0000,1.0
2022-01-13,320.4658,320.88,304.0,304.8,297.077972563978,45365979,0.0000,1.0
2022-01-14,304.25,310.82,303.75,310.2,302.341164991293,39846414,0.0000,1.0
2022-01-18,304.07,309.8,301.74,302.65,294.982442245696,41717982,0.0000,1.0
2022-01-19,306.29,313.9093,302.7,303.33,295.645214625432,45485618,0.0000,1.0
2022-01-20,309.07,311.6494,301.14,301.6,293.959043718162,35380675,0.0000,1.0
2022-01-21,302.685,304.11,295.61,296.03,288.530158195914,57984403,0.0000,1.0
2022-01-24,292.2,297.11,276.05,296.37,288.861544385782,86035393,0.0000,1.0
2022-01-25,291.52,294.99,285.17,288.49,281.18118210296,72848638,0.0000,1.0
2022-01-26,307.985,308.5,293.03,296.71,289.19293057565,90428853,0.0000,1.0
2022-01-27,302.66,307.3,297.93,299.84,292.243632852964,53481317,0.0000,1.0
2022-01-28,300.23,308.48,294.45,308.26,300.450314378517,49743698,0.0000,1.0
2022-01-31,308.95,312.38,306.37,310.98,303.101403897461,46444536,0.0000,1.0
2022-02-01,310.41,310.63,305.1293,308.76,300.937647010676,40950396,0.0000,1.0
2022-02-02,309.63,315.12,308.88,313.46,305.518573752968,36635989,0.0000,1.0
2022-02-03,309.49,311.23,299.96,301.25,293.617910875651,43729972,0.0000,1.0
