Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,332.1947,332.8934,313.8,314.35,31.3845888469363,48580204,0.0400,1.0
2021-12-02,312.14,324.7799,310.25,321.26,32.0744807156569,47289033,0.0000,1.0
2021-12-03,320.0,321.29,301.3,306.93,30.6437787650394,54432505,0.0000,1.0
2021-12-06,298.8,302.41,280.38,300.37,29.9888307681064,65893845,0.0000,1.0
2021-12-07,309.57,324.49,306.51,324.27,32.3749980130301,59305348,0.0000,1.0
2021-12-08,319.99,322.9,314.2101,318.26,31.7749618146204,47555145,0.0000,1.0
2021-12-09,317.34,322.05,304.28,304.9,30.4411043086714,48850716,0.0000,1.0
2021-12-10,311.5,313.05,298.61,301.98,30.1495725783293,48882509,0.0000,1.0
2021-12-13,302.49,302.94,281.16,281.61,28.1158392402918,59834366,0.0000,1.0
2021-12-14,276.99,286.78,272.5,283.37,28.2915569955665,66703537,0.0000,1.0
2021-12-15,284.0,305.0,278.38,304.59,30.410154022231,69829688,0.0000,1.0
2021-12-16,311.52,311.6,280.93,283.87,28.3414768124059,70736595,0.0000,1.0
2021-12-17,279.85,289.22,277.6,278.01,27.756416559048,71662239,0.0000,1.0
2021-12-20,273.05,281.44,271.45,277.19,27.6745480594314,46184676,0.0000,1.0
2021-12-21,283.74,291.2,274.01,290.75,29.0283734921162,52438494,0.0000,1.0
2021-12-22,288.91,295.55,284.49,294.0,29.3528523015723,39518438,0.0000,1.0
2021-12-23,297.55,300.59,294.3101,296.4,29.5924674224015,34302174,0.0000,1.0
2021-12-27,296.6,310.865,296.4,309.45,30.89537464191,40368587,0.0000,1.0
2021-12-28,313.12,313.3,300.1181,303.22,30.273373724091,42059121,0.0000,1.0
2021-12-29,302.725,305.48,293.66,300.01,29.952888499982,34313928,0.0000,1.0
2021-12-30,298.27,304.57,295.4,295.86,29.5385540202149,30886422,0.0000,1.0
2021-12-31,296.74,300.3,293.3057,294.11,29.363834661277,26347792,0.0000,1.0
2022-01-03,298.15,307.11,297.85,301.21,30.0726960603966,39240294,0.0000,1.0
2022-01-04,302.77,304.68,283.49,292.9,29.2430287045256,52715440,0.0000,1.0
2022-01-05,289.49,294.16,275.33,276.04,27.5597324807008,49806388,0.0000,1.0
2022-01-06,276.4,284.3799,270.65,281.78,28.1328119780172,45418637,0.0000,1.0
2022-01-07,281.41,284.22,270.57,272.47,27.2033049884674,40993851,0.0000,1.0
2022-01-10,265.81,274.69,256.4384,274.0,27.356059627996,59468095,0.0000,1.0
2022-01-11,273.225,280.65,268.39,278.17,27.7723909004366,40276508,0.0000,1.0
2022-01-12,280.665,285.95,276.08,279.99,27.9540990337321,38341348,0.0000,1.0
2022-01-13,283.79,284.8,264.98,265.75,26.5323826501457,53886809,0.0000,1.0
2022-01-14,263.0,271.969,262.1001,269.42,26.898794105747,39583235,0.0000,1.0
2022-01-18,262.6,266.38,257.7,259.03,25.8614603118241,42267538,0.0000,1.0
2022-01-19,260.79,265.4317,250.52,250.67,25.0268009742692,48360408,0.0000,1.0
2022-01-20,253.04,255.7904,240.78,241.5,24.1112715334344,43518073,0.0000,1.0
2022-01-21,235.07,248.23,232.63,233.74,23.3365159760868,71895784,0.0000,1.0
2022-01-24,223.3,233.8,208.88,233.72,23.3345191834132,91581063,0.0000,1.0
2022-01-25,225.46,229.43,220.0,223.24,22.2881998224592,66461636,0.0000,1.0
2022-01-26,232.4,240.57,223.0,227.72,22.7354813813403,75595873,0.0000,1.0
2022-01-27,235.68,239.95,216.75,219.44,21.9088092144797,57335272,0.0000,1.0
2022-01-28,220.1215,228.58,212.96,228.4,22.8033723322419,54377425,0.0000,1.0
2022-01-31,231.82,245.09,230.52,244.86,24.4467327025952,56467968,0.0000,1.0
2022-02-01,251.04,251.45,238.9001,246.38,24.598488945787,51892517,0.0000,1.0
2022-02-02,257.94,258.17,245.5301,252.42,25.2015203332071,54341941,0.0000,1.0
2022-02-03,244.58,250.77,237.8,239.48,23.9095954734032,41017778,0.0000,1.0
2022-02-04,239.72,246.35,236.32,243.19,24.2800005143516,35482850,0.0000,1.0
2022-02-07,243.72,251.82,242.02,247.28,24.688344616098,37686750,0.0000,1.0
2022-02-08,243.59,252.3,239.8,251.08,25.0677352240775,41035864,0.0000,1.0
2022-02-09,256.22,267.25,253.53,267.05,26.6621741739282,52428166,0.0000,1.0
2022-02-10,259.95,269.2499,256.0,258.24,25.7825870012178,51319972,0.0000,1.0
2022-02-11,259.16,261.52,237.73,239.49,23.91059386974,60547198,0.0000,1.0
2022-02-14,239.34,248.75,237.55,242.67,24.2280839048386,44042443,0.0000,1.0
2022-02-15,249.49,265.45,247.84,264.95,26.4525109432027,70175280,0.0000,1.0
2022-02-16,262.59,265.82,255.52,265.11,26.4684852845913,73267633,0.0000,1.0
2022-02-17,256.3,257.85,241.65,245.07,24.4676990256678,81059508,0.0000,1.0
2022-02-18,246.675,249.86,231.0,236.42,23.604086194346,76125491,0.0000,1.0
2022-02-22,230.35,240.6399,230.0,233.9,23.3524903174754,62919566,0.0000,1.0
2022-02-23,238.02,241.5499,223.01,223.87,22.3510987916769,56651077,0.0000,1.0
2022-02-24,210.15,238.0,208.9,237.48,23.7099162060456,73580063,0.0000,1.0
2022-02-25,237.21,242.17,233.81,241.57,24.1182603077919,52886551,0.0000,1.0
2022-02-28,239.92,246.65,237.0701,243.85,24.3458946725796,47731861,0.0000,1.0
2022-03-01,242.91,243.77,231.32,234.77,23.439350798776,41205598,0.0000,1.0
2022-03-02,237.56,244.09,234.15,242.2,24.1851528623567,38964185,0.0400,1.0
2022-03-03,242.615,243.2599,234.69,237.14,23.679880882656,36509504,0.0000,1.0
2022-03-04,233.84,236.8,224.82,229.36,22.9030002498354,43201070,0.0000,1.0
2022-03-07,228.17,230.33,213.3,213.52,21.3212792699026,45082089,0.0000,1.0
2022-03-08,213.09,223.7299,206.5,215.14,21.4830461883048,55746719,0.0000,1.0
2022-03-09,223.87,232.2,222.47,230.14,22.9808880253624,49274195,0.0000,1.0
2022-03-10,225.31,227.88,218.82,226.58,22.6254002293674,42806565,0.0000,1.0
2022-03-11,230.22,231.45,220.46,221.0,22.068203065982,36720857,0.0000,1.0
2022-03-14,218.69,222.62,211.5901,213.3,21.2993109229591,38535424,0.0000,1.0
2022-03-15,215.18,230.38,213.2201,229.73,22.9399470151495,49199569,0.0000,1.0
2022-03-16,235.0,245.97,231.72,244.96,24.4607557603753,67142174,0.0000,1.0
2022-03-17,241.2,248.42,239.06,247.66,24.7303672910457,47194119,0.0000,1.0
2022-03-18,247.99,265.6899,246.24,264.53,26.4149400771231,72788748,0.0000,1.0
