Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,196.03,196.81,190.1,190.16,185.792490117196,13213371,0.0000,1.0
2021-12-02,192.0,199.435,191.85,198.29,193.735763911121,13976279,0.0000,1.0
2021-12-03,198.27,198.47,194.04,196.32,191.811009990576,10660536,0.0000,1.0
2021-12-06,198.77,204.22,197.74,202.68,198.024936353351,10722095,0.0000,1.0
2021-12-07,206.0,207.94,205.89,207.37,202.607218529675,11897237,0.0000,1.0
2021-12-08,207.66,209.48,205.71,208.99,204.190011093778,11749206,0.0000,1.0
2021-12-09,208.52,212.2,207.17,211.39,206.534888966523,10176774,0.0000,1.0
2021-12-10,211.9,214.25,210.86,213.4,208.498724184947,8882718,0.0000,1.0
2021-12-13,212.45,213.32,209.98,211.02,206.173386961142,8844298,0.0000,1.0
2021-12-14,210.73,213.37,208.45,209.98,205.157273216285,9832274,0.0000,1.0
2021-12-15,209.4,212.49,207.86,212.31,207.433758817742,10892534,0.0000,1.0
2021-12-16,215.29,216.27,211.61,214.37,209.446445658515,8548404,0.0000,1.0
2021-12-17,212.8,213.21,207.79,211.88,207.013634865542,11663037,0.0000,1.0
2021-12-20,209.09,209.77,206.86,208.74,203.945752982033,9434415,0.0000,1.0
2021-12-21,210.61,216.16,210.363,215.38,210.433248429962,6993699,0.0000,1.0
2021-12-22,213.85,218.94,213.85,217.96,212.953992143164,6003398,0.0000,1.0
2021-12-23,218.44,218.5174,216.62,216.62,211.644768664214,4798217,0.0000,1.0
2021-12-27,217.68,218.12,214.88,217.63,212.631571435661,4819103,0.0000,1.0
2021-12-28,216.01,219.73,215.58,218.05,213.041925063392,4283621,0.0000,1.0
2021-12-29,217.76,218.94,217.33,218.17,213.159168957029,3223215,0.0000,1.0
2021-12-30,217.97,219.15,217.15,217.87,212.866059222936,3812844,0.0000,1.0
2021-12-31,216.81,217.98,215.49,216.71,211.732701584442,4645282,0.0000,1.0
2022-01-03,217.52,222.06,217.0101,221.43,216.344294734175,7696504,0.0000,1.0
2022-01-04,222.0,226.79,221.81,222.46,217.350638154561,10629274,0.0000,1.0
2022-01-05,222.64,225.27,219.92,220.0,214.947138334997,9594587,0.0000,1.0
2022-01-06,217.8,221.91,217.55,219.75,214.702880223253,7877498,0.0000,1.0
2022-01-07,217.31,220.2,215.64,216.96,211.976959696186,10702084,0.0000,1.0
2022-01-10,213.975,214.2,206.5,211.97,207.10156778577,11978564,0.0000,1.0
2022-01-11,211.42,214.945,208.74,214.38,209.456215982985,8797140,0.0000,1.0
2022-01-12,214.48,217.58,213.8101,215.71,210.755669137465,6923316,0.0000,1.0
2022-01-13,216.85,220.48,214.655,215.0,210.061976100111,8867716,0.0000,1.0
2022-01-14,214.17,218.245,213.71,214.67,209.739555392609,8838059,0.0000,1.0
2022-01-18,215.88,216.905,214.33,215.71,210.755669137465,9066661,0.0000,1.0
2022-01-19,213.0,218.23,212.105,214.68,209.749325717078,9105809,0.0000,1.0
2022-01-20,214.72,219.603,213.94,214.35,209.426905009576,8532719,0.0000,1.0
2022-01-21,215.46,215.5998,205.82,205.93,201.200291806027,16200186,0.0000,1.0
2022-01-24,202.18,202.72,195.65,201.85,197.21399942236,16071162,0.0000,1.0
2022-01-25,199.62,205.38,196.99,202.0,197.360554289407,12125533,0.0000,1.0
2022-01-26,204.28,210.86,203.67,205.87,201.141669859209,10817631,0.0000,1.0
2022-01-27,209.5,210.96,205.85,206.15,201.415238944362,12009810,0.0000,1.0
2022-01-28,220.64,228.12,216.1,228.0,222.763397910815,26425262,0.0000,1.0
2022-01-31,225.55,226.38,222.05,226.17,220.975428532847,12380639,0.0000,1.0
2022-02-01,226.9,234.6101,226.42,232.36,227.023259379636,12247202,0.0000,1.0
2022-02-02,231.3,235.85,230.01,235.42,230.012978667387,10590512,0.0000,1.0
2022-02-03,233.04,233.49,230.55,231.54,226.222092773115,9968000,0.0000,1.0
2022-02-04,228.5,230.22,224.95,228.39,223.144440565137,10848120,0.0000,1.0
2022-02-07,228.0,229.92,226.01,227.16,221.942690655355,5984549,0.0000,1.0
2022-02-08,226.26,228.5,224.75,227.94,222.704775963997,7542245,0.0000,1.0
2022-02-09,230.13,233.15,230.12,230.87,225.56748103364,7772795,0.0000,1.0
2022-02-10,228.03,229.95,224.87,225.59,220.775136881217,6794620,0.3750,1.0
2022-02-11,227.25,229.1,223.54,224.69,219.89434596321,7535206,0.0000,1.0
2022-02-14,223.29,227.2601,222.81,225.34,220.530472737326,8280829,0.0000,1.0
2022-02-15,227.27,229.29,224.91,227.82,222.957541044722,9461976,0.0000,1.0
2022-02-16,227.5,229.88,225.595,228.82,223.936197620285,9561287,0.0000,1.0
2022-02-17,228.4,228.81,224.17,224.61,219.816053437165,8131174,0.0000,1.0
2022-02-18,224.6,225.74,221.84,222.69,217.937032812085,8121159,0.0000,1.0
2022-02-22,221.02,224.34,219.92,221.32,216.596273303563,9822768,0.0000,1.0
2022-02-23,222.84,224.28,215.42,215.95,211.340887492791,8669920,0.0000,1.0
2022-02-24,203.37,217.8626,201.45,217.3,212.662073869801,13463411,0.0000,1.0
2022-02-25,217.29,220.68,214.25,219.27,214.59002732366,8463568,0.0000,1.0
