Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-12-01,60.9,62.03,59.75,59.79,53.7819217812218,30670130,0.0000,1.0
2021-12-02,59.74,61.58,59.14,61.28,55.1221971358634,29216045,0.0000,1.0
2021-12-03,61.92,62.23,60.345,60.89,54.7713868081384,22014734,0.0000,1.0
2021-12-06,61.72,62.16,61.4199,61.58,55.3920512341133,19210511,0.0000,1.0
2021-12-07,62.34,63.03,62.1,62.27,56.0127156600883,19800377,0.0000,1.0
2021-12-08,62.61,63.19,62.34,62.45,56.1746281190383,18214420,0.0000,1.0
2021-12-09,62.05,62.7684,61.81,62.61,56.3185503047716,16910332,0.0000,1.0
2021-12-10,63.27,63.35,62.225,63.01,56.6783557691049,17942383,0.0000,1.0
2021-12-13,62.47,62.72,61.35,61.63,55.437026917155,17793708,0.0000,1.0
2021-12-14,61.26,62.465,61.22,61.54,55.35607068768,22551145,0.0000,1.0
2021-12-15,61.19,61.5,60.01,61.27,55.113201999255,19961862,0.0000,1.0
2021-12-16,61.44,62.45,61.3,61.37,55.2031533653384,21187783,0.0000,1.0
2021-12-17,60.95,61.275,59.69,60.03,53.9978050598218,44454945,0.0000,1.0
2021-12-20,58.79,59.25,57.96,59.16,53.2152281748968,21819305,0.0000,1.0
2021-12-21,59.75,60.6808,59.72,60.5,54.4205764804134,19798891,0.0000,1.0
2021-12-22,60.34,61.365,59.97,60.99,54.8613381742217,14058338,0.0000,1.0
2021-12-23,61.17,61.84,61.0,61.02,54.8883235840467,13543291,0.0000,1.0
2021-12-27,60.93,61.95,60.42,61.89,55.6709004689717,12596340,0.0000,1.0
2021-12-28,61.91,62.31,61.4,61.69,55.490997736805,12786873,0.0000,1.0
2021-12-29,61.48,61.5983,60.915,61.15,55.005260359955,12733601,0.0000,1.0
2021-12-30,61.22,61.6,60.765,60.79,54.6814354420551,11940294,0.0000,1.0
2021-12-31,60.74,61.47,60.7,61.19,55.0412409063884,14000452,0.0000,1.0
2022-01-03,61.24,63.6,61.21,63.54,57.1550980093466,24290187,0.0000,1.0
2022-01-04,64.13,66.185,64.1,65.93,59.3049356587381,38584046,0.0000,1.0
2022-01-05,66.5,67.61,66.48,66.75,60.0425368606214,34033275,0.0000,1.0
2022-01-06,68.0,68.48,67.07,68.32,61.4547733081296,30668514,0.0000,1.0
2022-01-07,68.52,69.18,67.98,68.88,61.9585009581963,23985401,0.0000,1.0
2022-01-10,68.97,69.17,67.95,68.47,61.5897003572546,22760316,0.0000,1.0
2022-01-11,68.89,71.4,68.58,71.35,64.1802997004545,31908074,0.0000,1.0
2022-01-12,71.14,71.81,70.64,71.14,63.9914018316795,23045051,0.0000,1.0
2022-01-13,71.12,71.58,70.31,70.63,63.5326498646545,21043176,0.0000,1.0
2022-01-14,70.65,72.145,70.6,71.87,64.6480468040878,23012866,0.0000,1.0
2022-01-18,72.82,73.88,72.01,73.08,65.7364583336961,31605833,0.0000,1.0
2022-01-19,73.75,73.86,72.55,73.11,65.7634437435211,26301952,0.0000,1.0
2022-01-20,72.5,74.37,72.26,73.27,65.9073659292544,26774550,0.0000,1.0
2022-01-21,73.18,73.18,71.04,72.17,64.9179009023378,35120462,0.0000,1.0
2022-01-24,70.88,73.08,69.805,72.79,65.4755993720544,41576131,0.0000,1.0
2022-01-25,72.59,75.235,71.39,74.93,67.4005586062376,39278417,0.0000,1.0
2022-01-26,75.43,76.0,73.49,74.17,66.7169282240043,35252385,0.0000,1.0
2022-01-27,75.46,76.01,73.985,75.12,67.571466201796,29174687,0.0000,1.0
2022-01-28,74.97,75.62,73.95,75.28,67.7153883875293,30595660,0.0000,1.0
2022-01-31,74.97,76.42,74.265,75.96,68.3270576768959,36085479,0.0000,1.0
2022-02-01,76.45,81.51,76.27,80.83,72.707689205154,61033081,0.0000,1.0
2022-02-02,80.06,80.81,79.15,80.62,72.518791336379,30299322,0.0000,1.0
2022-02-03,80.09,80.31,79.02,79.68,71.6732484951957,28529399,0.0000,1.0
2022-02-04,80.87,82.53,80.87,81.41,73.2294071284373,32197543,0.0000,1.0
2022-02-07,81.14,83.08,80.64,82.39,74.1109305160539,34949215,0.0000,1.0
2022-02-08,82.27,82.4962,79.92,80.26,72.194966418479,34356264,0.0000,1.0
2022-02-09,79.58,80.03,78.7051,79.0,71.8531512273624,40106115,0.8800,1.0
2022-02-10,78.72,79.68,77.792,78.24,71.1619057218839,28527663,0.0000,1.0
2022-02-11,78.62,80.32,78.23,80.21,72.9536868347688,42002092,0.0000,1.0
